,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3196,1990,217.8,235.8,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.10602205258693807,25.0
3197,1991,223.4,243.4,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.10271158586688578,25.0
3198,1992,238.3,258.3,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.10065814943863724,26.0
3199,1993,243.2,263.2,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.09878419452887538,26.0
3200,1994,252.0,277.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.10108303249097472,28.0
3201,1995,338.9,340.69699999999995,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0821844630272647,28.0
3202,1996,370.2,371.832,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.08068159814109598,30.0
3203,1997,368.0,371.055,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.08085054776246109,30.0
3204,1998,380.8,388.80400000000003,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.08230368000329213,32.0
3205,1999,357.1,362.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3206,2000,382.3,387.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3207,2001,439.1,444.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3208,2002,491.403,496.30300000000005,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3209,2003,530.9159999999999,461.216,77.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3210,2004,566.3,504.5,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3211,2005,604.7,478.9,133.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3212,2006,686.3,569.3,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3213,2007,660.0,586.8,82.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3214,2008,752.7,658.9,103.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3215,2009,756.1,657.6,108.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3216,2010,831.3,727.3,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3217,2011,845.7,744.2,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3218,2012,921.1,824.3,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3219,2013,870.3,790.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3220,2014,890.3,910.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
