,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3221,1990,667.0,760.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.1118421052631579,85.0
3222,1991,737.0,833.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.09003601440576231,75.0
3223,1992,820.0,925.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.12216216216216216,113.0
3224,1993,862.0,988.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.10526315789473684,104.0
3225,1994,958.0,1032.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.07364341085271318,76.0
3226,1995,1024.0,1060.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.12735849056603774,135.0
3227,1996,1235.0,1273.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.08248232521602514,105.0
3228,1997,1359.0,1398.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.06652360515021459,93.0
3229,1998,1500.0,1539.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0682261208576998,105.0
3230,1999,1543.0,1584.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.01893939393939394,30.0
3231,2000,1738.0,1777.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.05346088913899831,95.0
3232,2001,1867.0,1910.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.03664921465968586,70.0
3233,2002,1904.0,1949.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.044125192406362236,86.0
3234,2003,2037.0,2082.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.056676272814601344,118.0
3235,2004,2116.4,2165.4,0.0,0.0,122.0,0.4,0.0,0.0,0.0,0.05652535328345802,122.4
3236,2005,2224.4,2271.4,0.0,0.0,114.0,0.4,0.0,0.0,0.0,0.05036541340142643,114.4
3237,2006,2308.4,2350.4,0.0,0.0,77.0,0.4,0.0,0.0,0.0,0.03293056501021103,77.4
3238,2007,2424.4,2465.4,0.0,0.0,84.0,0.4,0.0,0.0,0.0,0.034233795732943946,84.4
3239,2008,2519.2,2557.1,0.0,0.0,108.0,0.4,0.0,0.0,0.0,0.04239177192913848,108.4
3240,2009,2538.4,2577.2,0.0,0.0,122.0,1.5,0.0,0.0,0.0,0.04792022349837033,123.5
3241,2010,2648.7,2688.8,0.0,0.0,101.0,2.5,0.0,0.0,0.0,0.038493008033323416,103.5
3242,2011,2694.6,2738.6,0.0,0.0,56.5,2.8,0.0,0.0,0.0,0.021653399547213903,59.3
3243,2012,2754.1,2797.5,0.0,0.0,74.1,3.6,0.9,0.0,0.0,0.028096514745308308,78.6
3244,2013,2840.2,2882.2,0.0,0.0,94.8,3.6,2.7,0.0,0.0,0.035077371452362775,101.1
3245,2014,2892.9,2935.9,0.0,0.0,90.8,3.2,24.6,0.0,0.0,0.040396471269457404,118.6
