,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3246,1990,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3247,1991,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3248,1992,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3249,1993,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3250,1994,28.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3251,1995,34.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3252,1996,37.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3253,1997,42.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3254,1998,47.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3255,1999,59.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3256,2000,79.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3257,2001,93.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3258,2002,107.0,115.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3259,2003,118.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3260,2004,132.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3261,2005,149.3,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3262,2006,160.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3263,2007,184.2,196.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3264,2008,202.0,217.83,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0010558692558417114,0.23
3265,2009,226.0,238.7,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.005446166736489318,1.3
3266,2010,245.5,257.5,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.023689320388349512,6.1
3267,2011,250.0,262.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,0.05305343511450382,13.9
3268,2012,256.9,270.9,0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.05684754521963825,15.4
3269,2013,270.1,285.1,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.058926692388635564,16.8
3270,2014,283.3,299.3,0.0,0.0,0.0,0.0,16.6,0.0,0.0,0.055462746408286,16.6
