,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3271,1990,108642.0,115837.0,576.0,1945.0,23478.0,1.0,1.0,5124.0,0.0,0.24693319060403843,28604.0
3272,1991,120583.0,128570.0,617.0,2018.0,21854.0,1.0,2.0,5435.0,0.0,0.21227346970521896,27292.0
3273,1992,125235.0,132864.0,990.0,2041.0,26170.0,1.0,3.0,5804.0,0.0,0.2406822013487476,31978.0
3274,1993,127836.0,135673.0,909.0,2015.0,26235.0,1.0,4.0,5877.0,0.0,0.23672359275611213,32117.0
3275,1994,138773.0,147131.0,1140.0,1970.0,20048.0,5.0,5.0,5598.0,0.0,0.17437521664367128,25656.0
3276,1995,144294.0,152248.0,1164.0,1944.0,27528.0,7.0,5.0,5669.0,0.0,0.21812437601807577,33209.0
3277,1996,149638.0,157691.0,1387.0,1288.0,31442.0,6.0,6.0,5729.0,0.0,0.2357965895326937,37183.0
3278,1997,159869.0,167493.0,1805.0,344.0,26431.0,12.0,6.0,5466.0,0.0,0.1905452765190187,31915.0
3279,1998,173560.0,182304.0,1510.0,77.0,24625.0,15.0,7.0,5657.0,0.0,0.1662278392136212,30304.0
3280,1999,182254.0,191510.0,655.0,131.0,32782.0,17.0,7.0,5623.0,0.0,0.20066315074930813,38429.0
3281,2000,195978.0,205675.0,1069.0,195.0,33133.0,19.0,7.0,5901.0,0.0,0.18991126777683237,39060.0
3282,2001,201109.0,213988.0,327.0,271.0,28502.0,18.0,8.0,5567.0,0.0,0.15933136437557247,34095.0
3283,2002,206804.0,218221.0,546.0,344.0,24951.0,21.0,8.0,5398.0,0.0,0.13920750065300774,30378.0
3284,2003,205922.0,236217.0,87.0,953.0,19880.0,19.0,8.0,6282.0,0.0,0.11086839643209422,26189.0
3285,2004,222610.0,237583.0,72.0,1346.0,25206.0,20.0,9.0,6577.0,0.0,0.13389846916656495,31812.0
3286,2005,234193.0,250718.0,116.0,1788.0,27659.0,19.0,9.0,7299.0,0.0,0.1395432318381608,34986.0
3287,2006,244228.0,257750.0,523.0,1299.0,30394.0,59.0,10.0,6685.0,0.0,0.14412415130940834,37148.0
3288,2007,250681.0,265208.0,277.0,1451.0,27276.0,262.0,9.0,7404.0,0.0,0.13178712557690567,34951.0
3289,2008,257352.0,269315.0,351.0,1452.0,39194.0,269.0,19.0,7056.0,0.0,0.17280136642964558,46538.0
3290,2009,255843.0,267754.0,346.0,1249.0,26718.0,596.0,27.0,6740.0,0.0,0.12728474644636495,34081.0
3291,2010,263385.0,275537.0,397.0,1348.0,37131.0,1239.0,31.0,6618.0,0.0,0.16338640545552865,45019.0
3292,2011,279398.0,302785.0,596.0,1293.0,36247.0,1648.0,41.0,6507.0,0.0,0.14678071899202405,44443.0
3293,2012,285466.0,307268.0,2177.0,1116.0,31883.0,3688.0,69.0,5817.0,0.0,0.1349213064816382,41457.0
3294,2013,287060.0,297326.0,1210.0,1240.0,28002.0,4185.0,106.0,6070.0,0.0,0.1290267248743803,38363.0
3295,2014,289521.0,301496.0,2124.0,2653.0,38893.0,6426.0,221.0,6000.0,0.0,0.17094754159259162,51540.0
