,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3296,1992,76.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3297,1993,77.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3298,1994,78.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3299,1995,80.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3300,1996,81.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3301,1997,80.8,86.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3302,1998,84.4,89.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0022321428571428575,0.2
3303,1999,84.9,90.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.002219755826859046,0.2
3304,2000,84.7,89.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0033707865168539327,0.3
3305,2001,85.9,90.2,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.003325942350332594,0.3
3306,2002,93.6,98.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.006109979633401222,0.6
3307,2003,97.3,101.9,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.005888125613346417,0.6
3308,2004,91.8,96.9,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.011351909184726523,1.1
3309,2005,72.4,75.5,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.01456953642384106,1.1
3310,2006,68.3,71.4,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.015406162464985995,1.1
3311,2007,69.84,69.84,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.017182130584192438,1.2
3312,2008,65.95,65.95,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.01819560272934041,1.2
3313,2009,70.49,70.49,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.018442332245708612,1.3
3314,2010,70.23,70.23,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.028477858465043426,2.0
3315,2011,65.91,65.91,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.030344409042633896,2.0
3316,2012,67.28,67.28,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.029726516052318668,2.0
3317,2013,68.0,68.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.029411764705882353,2.0
3318,2014,69.56,69.56,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.02875215641173088,2.0
