,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3319,1990,2981.0,3348.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3320,1991,2718.0,3229.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3321,1992,2541.0,2929.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3322,1993,2359.0,2582.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3323,1994,2460.0,2715.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3324,1995,2535.0,2629.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3325,1996,2497.0,2614.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3326,1997,2514.0,2720.0,344.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3327,1998,2574.0,2765.0,367.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3328,1999,2633.0,2930.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3329,2000,2585.0,2930.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3330,2001,2603.0,3017.0,196.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3331,2002,2614.0,3112.0,167.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3332,2003,2684.0,3138.0,171.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3333,2004,2837.0,3303.0,171.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3334,2005,2954.0,3419.0,168.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3335,2006,3062.0,3545.0,168.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3336,2007,3272.0,3702.0,195.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3337,2008,3530.0,4001.0,198.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3338,2009,4814.0,5181.6,366.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3339,2010,6666.6,6215.0,1195.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3340,2011,4372.7,4811.9,275.5,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3341,2012,4814.0,5181.6,366.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3342,2013,6667.1,6215.0,1195.5,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3343,2014,7268.4,6725.0,1349.2,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
