,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3344,2005,4284.0,2864.0,1578.0,44.0,1866.0,0.0,0.0,0.0,0.0,0.651536312849162,1866.0
3345,2006,4496.0,2952.0,1728.0,72.0,1750.0,0.0,0.0,0.0,0.0,0.5928184281842819,1750.0
3346,2007,4098.0,2144.0,2167.0,108.0,1284.0,0.0,0.0,0.0,0.0,0.5988805970149254,1284.0
3347,2008,4150.0,2828.0,1571.0,108.0,1539.0,0.0,0.0,0.0,0.0,0.5442008486562943,1539.0
3348,2009,3739.0,2841.0,1151.0,172.0,2073.0,0.0,0.0,0.0,0.0,0.7296726504751848,2073.0
3349,2010,4271.0,4168.0,732.0,483.0,2755.0,0.0,0.0,0.0,0.0,0.6609884836852208,2755.0
3350,2011,3608.0,2809.0,1383.0,431.0,1209.0,0.0,0.0,0.0,0.0,0.43040227839088646,1209.0
3351,2012,3439.0,2844.0,964.0,228.0,1477.0,0.0,0.0,0.0,0.0,0.5193389592123769,1477.0
3352,2013,3550.0,3945.0,388.0,647.0,2501.0,0.0,0.0,0.0,0.0,0.6339670468948035,2501.0
3353,2014,3166.0,3040.0,903.0,642.0,1716.0,0.0,2.0,0.0,0.0,0.5651315789473684,1718.0
