,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3379,1990,8002.0,8548.0,103.0,0.0,1196.0,0.0,0.0,0.0,0.0,0.1399157697707066,1196.0
3380,1991,9166.0,9194.0,641.0,0.0,1246.0,0.0,0.0,0.0,0.0,0.13552316728301067,1246.0
3381,1992,10037.0,9710.0,932.0,0.0,964.0,0.0,0.0,0.0,0.0,0.09927909371781668,964.0
3382,1993,10268.0,9895.0,1027.0,0.0,443.0,0.0,0.0,0.0,0.0,0.044770085901970694,443.0
3383,1994,10444.0,10966.0,793.0,0.0,839.0,0.0,0.0,0.0,0.0,0.0765092102863396,839.0
3384,1995,10734.0,12113.0,243.0,0.0,605.0,0.0,0.0,0.0,0.0,0.049946338644431605,605.0
3385,1996,11100.0,12407.0,256.0,129.0,1938.0,0.0,0.0,0.0,0.0,0.1562021439509954,1938.0
3386,1997,12398.0,13892.0,122.0,0.0,2083.0,0.0,0.0,0.0,0.0,0.14994241289951052,2083.0
3387,1998,13776.0,13774.0,715.0,0.0,1777.0,0.0,0.0,0.0,0.0,0.12901118048497168,1777.0
3388,1999,14542.0,13475.0,1815.0,0.0,825.0,0.0,0.0,0.0,0.0,0.061224489795918366,825.0
3389,2000,15278.0,13715.0,2328.0,0.0,718.0,64.0,0.0,0.0,0.0,0.05701786365293474,782.0
3390,2001,16297.0,15615.0,1541.0,0.0,871.0,206.0,0.0,0.0,0.0,0.06897214217098943,1077.0
3391,2002,15559.0,15111.0,1372.0,0.0,850.0,194.0,0.0,0.0,0.0,0.06908874329958309,1044.0
3392,2003,16802.0,16358.0,1417.0,0.0,1456.0,203.0,0.0,0.0,0.0,0.10141826629172271,1659.0
3393,2004,17961.0,17496.0,1512.0,0.0,1616.0,199.0,0.0,0.0,0.0,0.10373799725651578,1815.0
3394,2005,19518.0,19243.0,814.0,0.0,1412.0,206.0,0.0,0.0,0.0,0.08408252351504443,1618.0
3395,2006,21105.0,19862.0,2027.0,0.0,1585.0,183.0,0.0,0.0,0.0,0.08901419796596516,1768.0
3396,2007,22608.0,19670.0,3507.0,0.0,1318.0,279.0,0.0,0.0,0.0,0.08118962887646161,1597.0
3397,2008,24004.0,20347.0,4261.0,0.0,1360.0,298.0,0.0,0.0,0.0,0.08148621418390918,1658.0
3398,2009,25016.0,20935.0,4623.0,0.0,2952.0,391.0,0.0,0.0,0.0,0.15968473847623596,3343.0
3399,2010,26530.0,22852.5,3939.0,0.0,3631.0,659.0,0.0,0.0,0.0,0.18772563176895307,4290.0
3400,2011,28752.0,24364.2,4607.0,0.0,2139.0,692.0,0.0,0.0,0.0,0.11619507309905516,2831.0
3401,2012,31054.8,26495.3,4841.0,0.0,1816.0,728.0,0.0,0.0,0.0,0.0960170294354093,2544.0
3402,2013,32566.0,27929.0,5551.0,151.0,2785.0,1481.0,0.0,0.0,0.0,0.1527444591643095,4266.0
3403,2014,34086.0,29142.0,6138.0,128.0,2033.0,1924.0,0.0,0.0,0.0,0.1357834053942763,3957.0
