,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3404,1990,568.0,454.0,166.0,0.0,284.0,0.0,0.0,0.0,0.0,0.6255506607929515,284.0
3405,1991,727.0,471.0,302.0,0.0,323.0,0.0,0.0,0.0,0.0,0.6857749469214437,323.0
3406,1992,740.0,416.0,392.0,0.0,325.0,0.0,0.0,0.0,0.0,0.78125,325.0
3407,1993,779.0,392.0,422.0,0.0,344.0,0.0,0.0,0.0,0.0,0.8775510204081632,344.0
3408,1994,835.0,395.0,465.0,0.0,366.0,0.0,0.0,0.0,0.0,0.9265822784810127,366.0
3409,1995,891.0,408.0,501.0,0.0,379.0,0.0,0.0,0.0,0.0,0.928921568627451,379.0
3410,1996,972.0,425.0,599.0,0.0,209.0,0.0,0.0,0.0,0.0,0.49176470588235294,209.0
3411,1997,1136.0,1005.0,686.0,483.0,765.0,0.0,0.0,0.0,0.0,0.7611940298507462,765.0
3412,1998,1451.0,6864.0,350.0,5677.0,6837.0,0.0,0.0,0.0,0.0,0.9960664335664335,6837.0
3413,1999,1319.0,7707.0,73.0,6374.0,7683.0,0.0,0.0,0.0,0.0,0.9968859478396264,7683.0
3414,2000,1213.0,8849.0,245.0,7781.0,8836.0,0.0,0.0,0.0,0.0,0.9985309074471692,8836.0
3415,2001,6093.0,11885.0,4800.0,10370.0,11841.0,0.0,0.0,0.0,0.0,0.9962978544383677,11841.0
3416,2002,6103.0,12712.0,5032.0,11408.0,12674.0,0.0,0.0,0.0,0.0,0.9970106985525488,12674.0
3417,2003,8459.0,10907.0,7363.0,9643.0,10870.0,0.0,0.0,0.0,0.0,0.9966076831392684,10870.0
3418,2004,10439.0,11714.0,9267.0,10402.0,11668.0,0.0,0.0,0.0,0.0,0.9960730749530476,11668.0
3419,2005,10714.0,13285.0,9588.0,12001.0,13264.0,0.0,0.0,0.0,0.0,0.9984192698532179,13264.0
3420,2006,11602.0,14737.0,9839.0,12825.0,14717.0,0.0,0.0,0.0,0.0,0.9986428716835177,14717.0
3421,2007,12163.0,16076.0,8568.0,12347.0,16063.0,0.0,0.0,0.0,0.0,0.9991913411296343,16063.0
3422,2008,12001.0,15127.0,8207.0,11212.0,15114.0,0.0,0.0,0.0,0.0,0.999140609506181,15114.0
3423,2009,12460.0,16963.0,8340.0,12700.0,16950.0,0.0,0.0,0.0,0.0,0.9992336261274539,16950.0
3424,2010,12980.0,16666.0,8533.0,12075.0,16647.0,0.0,0.0,0.0,0.0,0.9988599543981759,16647.0
3425,2011,13297.0,16830.0,8570.0,11954.0,16810.0,0.0,0.0,0.0,0.0,0.9988116458704694,16810.0
3426,2012,13469.0,15166.0,8304.0,9791.0,15145.0,0.0,0.0,0.0,0.0,0.9986153237504946,15145.0
3427,2013,14706.0,15645.0,8339.0,9058.0,14805.0,0.0,0.0,0.0,0.0,0.9463087248322147,14805.0
3428,2014,14958.0,17739.0,7656.0,10199.0,16358.8,0.0,1.2,0.0,0.0,0.9222616832966909,16360.0
