,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3429,1990,2390.0,2478.0,0.0,0.0,1193.0,0.0,0.0,0.0,0.0,0.4814366424535916,1193.0
3430,1991,2610.0,2677.0,0.0,0.0,1240.0,0.0,0.0,0.0,0.0,0.4632050803137841,1240.0
3431,1992,2946.0,2996.0,0.0,0.0,1518.0,0.0,0.0,0.0,0.0,0.5066755674232309,1518.0
3432,1993,3244.0,3385.0,0.0,0.0,1705.0,0.0,0.0,0.0,0.0,0.5036927621861153,1705.0
3433,1994,3444.0,3594.0,0.0,0.0,1614.0,0.0,0.0,0.0,0.0,0.44908180300500833,1614.0
3434,1995,3914.0,4056.0,0.0,0.0,1624.0,0.0,0.0,0.0,0.0,0.40039447731755423,1624.0
3435,1996,3755.0,3945.0,0.0,0.0,1651.0,0.0,0.0,0.0,0.0,0.4185044359949303,1651.0
3436,1997,4219.0,4445.0,0.0,0.0,1685.0,0.0,0.0,0.0,0.0,0.37907761529808776,1685.0
3437,1998,3896.0,4139.0,0.0,0.0,949.0,0.0,0.0,0.0,0.0,0.22928243537086251,949.0
3438,1999,4405.0,4639.0,0.0,0.0,1038.0,0.0,0.0,0.0,0.0,0.223755119637853,1038.0
3439,2000,4871.0,5118.0,0.0,0.0,1892.0,0.0,0.0,0.0,0.0,0.3696756545525596,1892.0
3440,2001,4417.0,4689.0,0.0,0.0,1822.0,0.0,0.0,0.0,0.0,0.38856899125613137,1822.0
3441,2002,4855.0,5068.0,0.0,0.0,2232.0,0.0,0.0,0.0,0.0,0.4404104183109708,2232.0
3442,2003,5198.0,5426.0,0.0,0.0,2250.0,0.0,0.0,0.0,0.0,0.41467010689273864,2250.0
3443,2004,5372.0,5608.0,0.0,0.0,2408.0,0.0,0.0,0.0,0.0,0.42938659058487877,2408.0
3444,2005,5982.95,6064.16,0.0,0.0,3000.8,0.0,0.0,0.0,0.0,0.4948418247539643,3000.8
3445,2006,6082.15,6164.15,0.0,0.0,3324.63,0.0,0.0,0.0,0.0,0.5393493020124429,3324.63
3446,2007,6259.84,6398.02,0.0,0.0,3618.51,0.0,0.0,0.0,0.0,0.5655671598400756,3618.51
3447,2008,6468.4,6621.76,0.0,0.0,4071.08,0.0,0.0,0.0,0.0,0.6148033151307205,4071.08
3448,2009,6799.29,6964.27,0.0,0.0,5256.36,0.0,0.0,0.0,0.0,0.7547610876660439,5256.36
3449,2010,8469.89,8625.11,0.0,0.0,6188.95,0.0,0.0,0.0,0.0,0.7175502689241064,6188.95
3450,2011,10265.17,10425.03,0.0,0.0,7517.99,0.0,0.0,0.0,0.0,0.7211480446579049,7517.99
3451,2012,10779.05,10964.9,0.0,0.0,7766.24,0.0,0.0,0.0,0.0,0.708281881275707,7766.24
3452,2013,12064.7,12247.12,0.0,0.0,8823.14,0.0,0.0,0.0,0.0,0.7204257000829581,8823.14
3453,2014,14004.5,14156.3,0.0,0.0,8828.84,0.0,0.0,0.0,0.0,0.6236686139739904,8828.84
