,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3454,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
3455,1991,1739.0,1389.0,551.0,201.0,1322.0,0.0,0.0,0.0,0.0,0.9517638588912887,1322.0
3456,1992,1759.0,1170.0,793.0,204.0,1149.0,0.0,0.0,0.0,0.0,0.982051282051282,1149.0
3457,1993,1870.0,1167.0,752.0,49.0,967.0,0.0,0.0,0.0,0.0,0.8286203941730934,967.0
3458,1994,1720.0,874.0,874.0,28.0,672.0,0.0,0.0,0.0,0.0,0.7688787185354691,672.0
3459,1995,1783.0,1171.0,758.0,146.0,1134.0,0.0,0.0,0.0,0.0,0.968403074295474,1134.0
3460,1996,1941.0,893.0,1078.0,30.0,854.0,0.0,0.0,0.0,0.0,0.9563269876819709,854.0
3461,1997,1931.0,642.0,1319.0,30.0,610.0,0.0,0.0,0.0,0.0,0.9501557632398754,610.0
3462,1998,2188.0,1019.0,1192.0,23.0,992.0,0.0,0.0,0.0,0.0,0.9735034347399412,992.0
3463,1999,2262.0,1209.0,1109.0,56.0,1169.0,0.0,0.0,0.0,0.0,0.9669148056244831,1169.0
3464,2000,2646.0,1414.0,1297.0,65.0,1380.0,0.0,0.0,0.0,0.0,0.9759547383309759,1380.0
3465,2001,2608.0,1394.0,1278.0,64.0,1388.0,0.0,0.0,0.0,0.0,0.9956958393113343,1388.0
3466,2002,2265.0,1377.0,942.0,54.0,1376.0,0.0,0.0,0.0,0.0,0.9992737835875091,1376.0
3467,2003,2559.0,1567.0,1045.0,53.0,1553.0,0.0,0.0,0.0,0.0,0.9910657306955967,1553.0
3468,2004,3131.0,1588.0,1566.0,23.0,1587.0,0.0,0.0,0.0,0.0,0.9993702770780857,1587.0
3469,2005,3257.0,1585.0,1703.0,31.0,1552.0,0.0,0.0,0.0,0.0,0.979179810725552,1552.0
3470,2006,3403.0,1491.0,1948.0,36.0,1385.0,0.0,0.0,0.0,0.0,0.9289067739771966,1385.0
3471,2007,3699.0,1694.0,2045.0,40.0,1564.0,0.0,0.0,0.0,0.0,0.9232585596221959,1564.0
3472,2008,4197.0,2097.0,2147.0,47.0,1415.0,0.0,0.0,0.0,0.0,0.6747734859322843,1415.0
3473,2009,3800.0,1742.0,2202.0,144.0,1429.0,0.0,0.0,0.0,0.0,0.8203214695752009,1429.0
3474,2010,3743.0,1488.0,2462.0,207.0,1264.0,0.0,0.0,0.0,0.0,0.8494623655913979,1264.0
3475,2011,3917.0,1607.0,2389.0,79.0,1598.0,0.0,0.0,0.0,0.0,0.9943995021779714,1598.0
3476,2012,3676.0,1538.0,2226.0,88.0,1471.0,0.0,0.0,0.0,0.0,0.9564369310793238,1471.0
3477,2013,4539.0,1712.0,2916.0,89.0,1640.0,0.0,0.0,0.0,0.0,0.9579439252336449,1640.0
3478,2014,4300.0,1498.0,2886.0,84.0,1485.0,0.0,0.0,0.0,0.0,0.9913217623497997,1485.0
