,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3479,1990,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3480,1991,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3481,1992,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3482,1993,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3483,1994,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3484,1995,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3485,1996,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3486,1997,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3487,1998,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3488,1999,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3489,2000,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3490,2001,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3491,2002,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3492,2003,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3493,2004,31.9,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3494,2005,28.3,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3495,2006,16.3,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3496,2007,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3497,2008,19.4,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3498,2009,21.2,21.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.004694835680751174,0.1
3499,2010,22.5,22.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.004424778761061947,0.1
3500,2011,23.0,23.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.004329004329004329,0.1
3501,2012,23.6,23.7,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0042194092827004225,0.1
3502,2013,24.2,24.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.00411522633744856,0.1
3503,2014,25.054000000000002,25.054000000000002,0.0,0.0,0.0,0.0,0.054000000000000006,0.0,0.0,0.002155344455975094,0.054000000000000006
