,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3504,1990,757.0,731.0,60.0,23.0,704.0,0.0,0.0,0.0,0.0,0.9630642954856361,704.0
3505,1991,846.0,894.0,29.0,65.0,863.0,0.0,0.0,0.0,0.0,0.9653243847874721,863.0
3506,1992,935.0,952.0,80.0,85.0,895.0,0.0,0.0,0.0,0.0,0.9401260504201681,895.0
3507,1993,932.0,906.0,85.0,46.0,833.0,0.0,0.0,0.0,0.0,0.9194260485651214,833.0
3508,1994,964.0,945.0,95.0,63.0,875.0,0.0,0.0,0.0,0.0,0.9259259259259259,875.0
3509,1995,1054.0,1000.0,110.0,42.0,903.0,0.0,0.0,0.0,0.0,0.903,903.0
3510,1996,1175.0,1209.0,71.0,90.0,1154.0,0.0,0.0,0.0,0.0,0.9545078577336642,1154.0
3511,1997,1268.0,1254.0,130.0,100.0,1167.0,0.0,0.0,0.0,0.0,0.930622009569378,1167.0
3512,1998,1341.0,1250.0,232.0,64.0,1131.0,0.0,0.0,0.0,0.0,0.9048,1131.0
3513,1999,1506.0,1478.0,232.0,95.0,1411.0,0.0,0.0,0.0,0.0,0.9546684709066305,1411.0
3514,2000,1651.0,1659.0,227.0,126.0,1632.0,0.0,0.0,0.0,0.0,0.9837251356238698,1632.0
3515,2001,1841.0,1867.0,238.0,143.0,1849.0,0.0,0.0,0.0,0.0,0.9903588644884842,1849.0
3516,2002,1951.0,2123.0,150.0,186.0,2119.0,0.0,0.0,0.0,0.0,0.9981158737635422,2119.0
3517,2003,2096.0,2267.0,150.0,206.0,2263.0,0.0,0.0,0.0,0.0,0.9982355535950596,2263.0
3518,2004,2526.0,2418.0,241.0,111.0,2404.0,0.0,0.0,0.0,0.0,0.9942100909842845,2404.0
3519,2005,2672.0,2533.0,266.0,97.0,2517.0,0.0,0.0,0.0,0.0,0.9936833793920252,2517.0
3520,2006,2967.0,2748.0,329.0,77.0,2735.0,0.0,0.0,0.0,0.0,0.995269286754003,2735.0
3521,2007,3126.0,2792.0,425.0,60.0,2783.0,0.0,0.0,0.0,0.0,0.9967765042979942,2783.0
3522,2008,3091.0,2812.0,356.0,46.0,2803.0,0.0,0.0,0.0,0.0,0.9967994310099573,2803.0
3523,2009,3642.0,3115.0,639.0,75.0,3102.0,0.0,0.0,0.0,0.0,0.9958266452648475,3102.0
3524,2010,3841.0,3208.0,694.0,31.0,3205.0,0.0,0.0,0.0,0.0,0.9990648379052369,3205.0
3525,2011,4202.0,3492.0,746.0,4.0,3490.0,0.0,0.0,0.0,0.0,0.9994272623138603,3490.0
3526,2012,4308.0,3543.0,793.0,4.0,3533.0,0.0,0.0,0.0,0.0,0.9971775331639853,3533.0
3527,2013,4158.0,3130.0,1072.0,4.0,3120.0,0.0,0.0,0.0,0.0,0.9968051118210862,3120.0
3528,2014,4808.26,3507.65,1318.75,3.4,3498.0,0.0,0.0,0.0,0.0,0.9972488703262868,3498.0
