,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3529,1990,790.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3530,1991,801.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3531,1992,853.0,853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3532,1993,909.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3533,1994,891.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3534,1995,925.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3535,1996,967.0,1057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3536,1997,959.0,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3537,1998,1012.0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3538,1999,1010.0,1114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3539,2000,1017.0,1121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3540,2001,993.0,1095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3541,2002,988.0,1090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3542,2003,1071.0,1181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3543,2004,1097.0,1210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3544,2005,1131.0,1248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3545,2006,1104.0,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3546,2007,1138.0,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3547,2008,1125.0,1242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3548,2009,1176.0,1298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3549,2010,1199.0,1323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3550,2011,1201.0,1325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
