,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3551,1990,78624.0,71939.0,9679.0,471.0,85.0,56.0,0.0,0.0,0.0,0.0019599938837070296,141.0
3552,1991,80927.0,74420.0,9778.0,624.0,104.0,88.0,1.0,0.0,0.0,0.0025933888739586132,193.0
3553,1992,83069.0,77095.0,8905.0,227.0,120.0,147.0,1.0,0.0,0.0,0.0034762306245541214,268.0
3554,1993,84179.0,76851.0,10572.0,269.0,92.0,174.0,1.0,0.0,0.0,0.0034742553772885193,267.0
3555,1994,87033.0,79604.0,10850.0,288.0,100.0,238.0,1.0,0.0,0.0,0.004258579970855736,339.0
3556,1995,89163.0,81167.0,11979.0,586.0,88.0,317.0,2.0,0.0,0.0,0.005014353123806473,407.0
3557,1996,92427.0,85423.0,11288.0,699.0,80.0,437.0,2.0,0.0,0.0,0.006075647073973052,519.0
3558,1997,95641.0,86523.0,13107.0,475.0,92.0,475.0,3.0,0.0,0.0,0.006587843694740127,570.0
3559,1998,99457.0,91115.0,12234.0,420.0,112.0,640.0,4.0,0.0,0.0,0.008297206826537892,756.0
3560,1999,101597.0,86720.0,22408.0,3968.0,90.0,645.0,5.0,0.0,0.0,0.008533210332103322,740.0
3561,2000,104913.0,89631.0,22946.0,4031.0,142.0,829.0,8.0,0.0,0.0,0.010922560274904888,979.0
3562,2001,107095.0,93663.0,21492.0,4209.0,117.0,825.0,12.0,0.0,0.0,0.010185452099548381,954.0
3563,2002,108423.0,95981.0,20870.0,4488.0,110.0,947.0,17.0,0.0,0.0,0.011189714631020723,1074.0
3564,2003,109833.0,96818.0,20801.0,3809.0,72.0,1320.0,26.0,0.0,0.0,0.014646036893965998,1418.0
3565,2004,113261.0,101214.0,21405.0,5188.0,95.0,1871.0,34.0,0.0,0.0,0.019760112237437507,2000.0
3566,2005,113891.0,99921.0,23691.0,5398.0,88.0,2067.0,35.0,0.0,0.0,0.02191731467859609,2190.0
3567,2006,115948.0,98833.0,27346.0,5887.0,106.0,2735.0,36.0,0.0,0.0,0.02910971031942772,2877.0
3568,2007,118359.0,105165.0,23089.0,5480.0,107.0,3438.0,37.0,0.0,0.0,0.034060761660248184,3582.0
3569,2008,119038.0,107552.0,24967.0,9116.0,102.0,4260.0,39.0,0.0,0.0,0.04091974114846772,4401.0
3570,2009,113658.0,113691.0,15452.0,10561.0,98.0,4581.0,45.0,0.0,0.0,0.04155122217237952,4724.0
3571,2010,117601.0,119270.0,15583.0,12808.0,105.0,3994.0,56.0,0.0,0.0,0.03483692462480087,4155.0
3572,2011,118234.0,113963.0,20620.0,11531.0,57.0,5101.0,104.0,0.0,0.0,0.046172880671796986,5262.0
3573,2012,115757.0,103298.0,32156.0,15046.0,104.0,4981.0,226.0,0.0,0.0,0.05141435458576158,5311.0
3574,2013,115174.0,101736.0,33252.0,15015.0,114.0,5627.0,487.0,0.0,0.0,0.06121726822363765,6228.0
3575,2014,113501.0,103418.0,32855.0,18128.0,112.0,5797.0,785.0,0.0,0.0,0.06472761028060879,6694.0
