,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3576,1990,1147.0,1147.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.4019180470793374,461.0
3577,1991,1170.0,1170.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.2931623931623932,343.0
3578,1992,1099.0,1099.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.24749772520473157,272.0
3579,1993,1270.0,1270.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.1889763779527559,240.0
3580,1994,1332.0,1332.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,0.20795795795795796,277.0
3581,1995,1415.0,1415.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,0.1618374558303887,229.0
3582,1996,1485.0,1485.0,0.0,0.0,392.0,2.0,0.0,0.0,0.0,0.26531986531986534,394.0
3583,1997,1524.0,1524.0,0.0,0.0,359.0,5.0,0.0,0.0,0.0,0.2388451443569554,364.0
3584,1998,1591.0,1591.0,0.0,0.0,391.0,6.0,0.0,0.0,0.0,0.24952859836580768,397.0
3585,1999,1614.0,1620.0,0.0,0.0,466.0,6.0,0.0,0.0,0.0,0.291358024691358,472.0
3586,2000,1628.0,1645.0,0.0,0.0,442.0,7.0,0.0,0.0,0.0,0.2729483282674772,449.0
3587,2001,1672.0,1729.0,0.0,0.0,367.0,7.0,0.0,0.0,0.0,0.21631000578369,374.0
3588,2002,1700.0,1749.0,0.0,0.0,320.0,8.0,0.0,0.0,0.0,0.18753573470554602,328.0
3589,2003,1708.0,1758.0,0.0,0.0,323.0,5.0,0.0,0.0,0.0,0.18657565415244595,328.0
3590,2004,1619.0,1678.0,0.0,0.0,326.0,11.0,0.0,0.0,0.0,0.20083432657926104,337.0
3591,2005,1826.0,1883.0,0.0,0.0,339.0,18.0,0.0,0.0,0.0,0.1895910780669145,357.0
3592,2006,1815.0,1872.0,0.0,0.0,288.0,28.0,0.0,0.0,0.0,0.16880341880341881,316.0
3593,2007,1868.0,1926.0,0.0,0.0,390.0,37.0,0.0,0.0,0.0,0.2217030114226376,427.0
3594,2008,1876.0,1880.6,0.0,0.0,460.0,36.0,0.6,0.0,0.0,0.26406466021482505,496.6
3595,2009,1939.3,1944.6,0.0,0.0,397.4,41.5,0.6,0.0,0.0,0.2260104905893243,439.5
3596,2010,2108.0,2131.15,0.0,0.0,264.9,51.7,3.35,0.0,0.0,0.1501302113882176,319.95
3597,2011,2258.0,2266.83,0.0,0.0,374.7,45.5,3.93,0.0,0.0,0.18710269407057434,424.13
3598,2012,2259.0,2287.9,0.0,0.0,399.3,57.1,4.8,0.0,0.0,0.20158223698588226,461.20000000000005
3599,2013,2505.0,2505.76,0.0,0.0,455.2,52.3,4.66,0.0,0.0,0.20439307834748735,512.16
3600,2014,2559.0,2621.84,0.0,0.0,288.3,57.2,4.54,0.0,0.0,0.13350929118481678,350.04
