,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3601,1990,31459.0,32265.0,0.0,0.0,23183.0,0.0,0.0,2131.0,0.0,0.7845653184565319,25314.0
3602,1991,32410.0,33296.0,0.0,0.0,22892.0,0.0,0.0,2287.0,0.0,0.7562169629985583,25179.0
3603,1992,31932.0,32894.0,0.0,0.0,21091.0,1.0,0.0,2259.0,0.0,0.7098863014531526,23351.0
3604,1993,33359.0,34275.0,0.0,0.0,23491.0,1.0,0.0,2382.0,0.0,0.7548942377826404,25874.0
3605,1994,34027.0,34851.0,0.0,0.0,25834.0,1.0,0.0,2227.0,0.0,0.8051992769217526,28062.0
3606,1995,35250.0,36062.0,0.0,0.0,27532.0,1.0,0.0,2161.0,0.0,0.8234152293272697,29694.0
3607,1996,35561.0,36473.0,0.0,0.0,26180.0,8.0,0.0,2161.0,0.0,0.7772598908781838,28349.0
3608,1997,35992.0,37109.0,0.0,0.0,23256.0,14.0,0.0,2258.0,0.0,0.6879193726589237,25528.0
3609,1998,36579.0,37612.0,0.0,0.0,25317.0,22.0,0.0,2529.0,0.0,0.7409337445496118,27868.0
3610,1999,36643.0,37817.0,0.0,0.0,22917.0,39.0,0.0,2793.0,0.0,0.6808842584023058,25749.0
3611,2000,38070.0,39247.0,0.0,0.0,24433.0,120.0,0.0,2922.0,0.0,0.7000535072744414,27475.0
3612,2001,38219.0,39572.0,0.0,0.0,21679.0,139.0,0.0,2838.0,0.0,0.6230668149196401,24656.0
3613,2002,39386.0,40629.0,0.0,0.0,24870.0,155.0,0.0,2814.0,0.0,0.6852002264392429,27839.0
3614,2003,39454.0,40777.0,0.0,0.0,23620.0,146.0,0.0,2750.0,0.0,0.650268533732251,26516.0
3615,2004,41264.0,42505.0,0.0,0.0,26926.0,361.0,0.0,2789.0,0.0,0.7075873426655688,30076.0
3616,2005,41515.0,42968.0,0.0,0.0,23325.0,614.0,0.0,3159.0,0.0,0.6306553714392106,27098.0
3617,2006,42123.0,43602.0,0.0,0.0,23571.0,622.0,0.0,3368.0,0.0,0.6321040319251411,27561.0
3618,2007,42285.0,43749.0,0.0,0.0,23638.0,930.0,0.0,3555.0,0.0,0.6428261217399255,28123.0
3619,2008,42306.0,43838.0,0.0,0.0,22336.0,1058.0,0.0,4204.0,0.0,0.6295451434828231,27598.0
3620,2009,42080.0,43453.0,0.0,0.0,24221.0,1476.0,0.0,4865.0,0.0,0.7033346374243435,30562.0
3621,2010,43457.0,44876.0,0.0,0.0,24716.0,1634.0,0.0,5882.0,0.0,0.7182458329619396,32232.0
3622,2011,43108.0,44465.0,0.0,0.0,25114.0,1952.0,0.0,6120.0,0.0,0.7463398178342516,33186.0
3623,2012,42806.0,44260.0,0.0,0.0,22901.0,2076.0,5.0,6194.0,0.0,0.7043831902394939,31176.0
3624,2013,41882.0,43265.0,0.0,0.0,23044.0,2024.0,7.0,6416.0,0.0,0.7278631688431758,31491.0
3625,2014,42239.0,43553.0,0.0,0.0,24336.0,2214.0,16.0,7258.0,0.0,0.7766169953849333,33824.0
