,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3626,1990,1405.0,1399.0,65.0,0.0,411.0,0.0,0.0,386.0,0.0,0.5696926375982845,797.0
3627,1991,1461.0,1473.0,58.0,0.0,345.0,0.0,0.0,458.0,0.0,0.5451459606245757,803.0
3628,1992,1530.0,1578.0,35.0,0.0,265.0,0.0,0.0,468.0,0.0,0.4645120405576679,733.0
3629,1993,1557.0,1682.0,0.0,48.0,308.0,0.0,0.0,515.0,0.0,0.4892984542211653,823.0
3630,1994,1583.0,1683.0,98.0,119.0,310.0,0.0,0.0,515.0,0.0,0.49019607843137253,825.0
3631,1995,1690.0,1786.0,0.0,0.0,335.0,0.0,0.0,550.0,0.0,0.4955207166853303,885.0
3632,1996,1793.0,1904.0,14.0,10.0,340.0,0.0,0.0,600.0,0.0,0.49369747899159666,940.0
3633,1997,1946.0,1887.0,162.0,0.0,340.0,0.0,0.0,600.0,0.0,0.49814520402755696,940.0
3634,1998,1996.0,2153.0,43.0,0.0,296.0,0.0,0.0,121.0,0.0,0.19368323269856014,417.0
3635,1999,2039.0,2148.0,82.0,22.0,393.0,0.0,0.0,102.0,0.0,0.23044692737430167,495.0
3636,2000,2199.0,2288.0,116.0,1.0,210.0,0.0,0.0,134.0,0.0,0.15034965034965034,344.0
3637,2001,2304.0,2473.0,17.0,0.0,197.0,0.0,0.0,206.0,0.0,0.16295996765062676,403.0
3638,2002,2331.0,2553.0,15.0,7.0,303.0,0.0,0.0,210.0,0.0,0.2009400705052879,513.0
3639,2003,2449.0,2708.0,12.0,21.0,298.0,0.0,0.0,271.0,0.0,0.2101181683899557,569.0
3640,2004,2553.0,2822.0,23.0,22.0,321.0,0.0,0.0,255.0,0.0,0.20411055988660523,576.0
3641,2005,2589.0,2866.0,25.0,8.0,434.0,0.0,0.0,271.0,0.0,0.2459874389392882,705.0
3642,2006,2919.0,3134.0,53.0,0.0,308.0,0.0,0.0,311.0,0.0,0.1975111678366305,619.0
3643,2007,3023.0,3208.0,64.0,0.0,306.0,0.0,0.0,243.0,0.0,0.1711346633416459,549.0
3644,2008,3151.0,3361.0,28.0,0.0,534.0,0.0,0.0,322.0,0.0,0.2546861053257959,856.0
3645,2009,3226.0,3453.0,2.0,2.0,297.0,110.0,0.0,297.0,0.0,0.2038806834636548,704.0
3646,2010,3327.0,3659.0,10.0,43.0,504.0,163.0,0.0,302.0,0.0,0.26482645531566,969.0
3647,2011,3487.0,3824.0,10.0,41.0,444.0,211.0,0.0,273.0,0.0,0.24267782426778242,928.0
3648,2012,3696.0,4031.0,20.0,3.0,419.0,330.0,0.0,523.0,0.0,0.31555445298933266,1272.0
3649,2013,3799.0,4163.0,52.0,16.0,456.0,562.0,0.0,679.0,0.0,0.4076387220754264,1697.0
3650,2014,4256.0,4444.0,22.0,49.0,395.0,846.0,0.0,662.0,0.0,0.4282178217821782,1903.0
