,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3651,1990,337.1,169.5,167.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3652,1991,330.6,161.7,168.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3653,1992,325.0,164.6,160.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3654,1993,324.9,159.4,165.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3655,1994,320.1,148.1,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3656,1995,344.7,148.8,195.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3657,1996,347.78,152.41,199.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3658,1997,355.15,150.33,209.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3659,1998,366.7,146.01,225.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3660,1999,379.39,152.35,232.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3661,2000,371.88,189.58,187.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3662,2001,381.61,167.8,219.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3663,2002,412.4,184.1,234.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3664,2003,462.0,191.5,274.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3665,2004,490.79900000000004,200.602,295.34,1.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3666,2005,534.21,233.08700000000002,339.00199999999995,1.493,0.0,0.0,0.002,0.0,0.0,8.580487114253475e-06,0.002
3667,2006,578.596,218.734,399.0,2.1719999999999997,0.0,0.0,0.002,0.0,0.0,9.143525926467765e-06,0.002
3668,2007,634.27,222.062,450.29,2.09,0.0,0.0,0.002,0.0,0.0,9.006493681944683e-06,0.002
3669,2008,645.988,225.50599999999997,461.68699999999995,2.49,0.0,0.0,0.003,0.0,0.0,1.3303415430188111e-05,0.003
3670,2009,749.051,253.886,534.539,2.44,0.0,0.0,0.003,0.0,0.0,1.1816327012911307e-05,0.003
3671,2010,799.038,292.025,551.495,2.38,0.0,0.0,0.003,0.0,0.0,1.0273093057101277e-05,0.003
3672,2011,885.203,323.786,607.4580000000001,3.84,0.0,0.0,0.005,0.0,0.0,1.5442298308141798e-05,0.005
3673,2012,979.6489999999999,391.74300000000005,636.7,4.22,0.0,0.0,0.005,0.0,0.0,1.2763469927988502e-05,0.005
3674,2013,992.8860000000001,437.80699999999996,602.383,3.002,0.0,0.0,0.005,0.0,0.0,1.142055746025075e-05,0.005
3675,2014,961.9,438.75699999999995,574.1,0.0,0.0,0.0,0.005,0.0,0.0,1.1395829582206097e-05,0.005
