,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3676,1990,13043.0,13881.0,0.0,0.0,4387.0,0.0,0.0,0.0,0.0,0.31604351271522224,4387.0
3677,1991,13616.0,14398.0,0.0,92.0,5931.0,0.0,0.0,0.0,0.0,0.41193221280733433,5931.0
3678,1992,14421.0,14956.0,0.0,92.0,6059.0,0.0,0.0,0.0,0.0,0.4051216902915218,6059.0
3679,1993,14038.0,14505.0,0.0,104.0,5572.0,0.0,0.0,0.0,0.0,0.38414339882799037,5572.0
3680,1994,14926.0,15531.0,0.0,138.0,5562.0,0.0,0.0,0.0,0.0,0.35812246474792353,5562.0
3681,1995,15417.0,15857.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.34684997162136594,5500.0
3682,1996,15788.0,16243.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.33860740011081697,5500.0
3683,1997,15656.0,16117.0,0.0,0.0,5593.0,0.0,0.0,0.0,0.0,0.3470248805608984,5593.0
3684,1998,14679.0,15111.0,0.0,0.0,5775.0,0.0,0.0,0.0,0.0,0.3821719277347628,5775.0
3685,1999,15629.0,16089.0,0.0,0.0,6148.0,0.0,0.0,0.0,0.0,0.3821244328423146,6148.0
3686,2000,14306.0,14727.0,0.0,0.0,5628.0,0.0,0.0,0.0,0.0,0.38215522509676103,5628.0
3687,2001,15020.0,15462.0,0.0,0.0,5909.0,0.0,0.0,0.0,0.0,0.38216272151080066,5909.0
3688,2002,20929.0,21545.0,0.0,0.0,8234.0,0.0,0.0,0.0,0.0,0.3821768391738222,8234.0
3689,2003,19607.0,20184.0,0.0,0.0,7448.0,0.0,0.0,0.0,0.0,0.3690051525961157,7448.0
3690,2004,23581.0,24275.0,0.0,0.0,8108.0,0.0,0.0,0.0,0.0,0.33400617919670444,8108.0
3691,2005,22866.0,23539.0,0.0,0.0,7768.0,0.0,0.0,0.0,0.0,0.3300055227494796,7768.0
3692,2006,22449.0,23110.0,0.0,0.0,6263.0,0.0,0.0,0.0,0.0,0.2710082215491129,6263.0
3693,2007,22321.0,22978.0,0.0,0.0,6227.0,0.0,0.0,0.0,0.0,0.27099834624423363,6227.0
3694,2008,20506.0,21110.0,0.0,0.0,5721.0,0.0,0.0,0.0,0.0,0.2710090004737091,5721.0
3695,2009,19211.0,19777.0,0.0,0.0,4529.0,0.0,0.0,0.0,0.0,0.2290033877736765,4529.0
3696,2010,25373.0,26121.0,0.0,0.0,6374.0,0.0,0.0,0.0,0.0,0.2440182228858007,6374.0
3697,2011,26260.0,27034.0,0.0,0.0,5883.0,0.0,0.0,0.0,0.0,0.21761485536731523,5883.0
3698,2012,27884.0,28706.0,0.0,0.0,5659.0,0.0,0.0,0.0,0.0,0.1971364871455445,5659.0
3699,2013,28056.0,28883.0,0.0,0.0,5326.0,0.0,0.0,0.0,0.0,0.18439912751445486,5326.0
3700,2014,29520.0,30390.0,0.0,0.0,5346.0,0.0,0.0,0.0,0.0,0.1759131293188549,5346.0
