,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3701,1990,2.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3702,1991,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3703,1992,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3704,1993,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3705,1994,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3706,1995,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3707,1996,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3708,1997,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3709,1998,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3710,1999,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3711,2000,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3712,2001,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3713,2002,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3714,2003,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3715,2004,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3716,2005,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3717,2006,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3718,2007,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3719,2008,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3720,2009,2.7319999999999998,2.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3721,2010,2.99,3.14794444444444,0.0,0.0,0.0,0.0,0.0669444444444444,0.0,0.0,0.02126608192294797,0.0669444444444444
3722,2011,3.105,3.26961111111111,0.0,0.0,0.0,0.0,0.0686111111111111,0.0,0.0,0.020984486772127168,0.0686111111111111
3723,2012,3.16,3.32944444444444,0.0,0.0,0.0,0.0,0.0644444444444444,0.0,0.0,0.019355915234440194,0.0644444444444444
3724,2013,3.18,3.3516666666666697,0.0,0.0,0.0,0.0,0.0666666666666667,0.0,0.0,0.019890601690701133,0.0666666666666667
3725,2014,3.06,3.2266666666666697,0.0,0.0,0.0,0.0,0.0666666666666667,0.0,0.0,0.02066115702479338,0.0666666666666667
