,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3726,1992,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3727,1993,338.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3728,1994,340.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3729,1995,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730,1996,350.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731,1997,351.6,351.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732,1998,370.3,370.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3733,1999,375.2,375.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3734,2000,410.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3735,2001,423.4,423.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3736,2002,418.5,418.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3737,2003,410.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3738,2004,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3739,2005,390.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3740,2006,387.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3741,2007,383.8,383.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3742,2008,393.7,393.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3743,2009,397.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3744,2010,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3745,2011,406.6,406.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3746,2012,410.7,410.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3747,2013,414.8,414.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3748,2014,418.9,418.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
