,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3749,1990,104259.0,121848.0,334.0,16241.0,121382.0,0.0,0.0,0.0,0.0,0.9961755629965202,121382.0
3750,1991,106314.0,111009.0,3274.0,6049.0,110580.0,0.0,0.0,0.0,0.0,0.9961354484771505,110580.0
3751,1992,106869.0,117503.0,1379.0,10109.0,117062.0,0.0,0.0,0.0,0.0,0.9962469043343575,117062.0
3752,1993,110550.0,120107.0,594.0,8376.0,119622.0,7.0,0.0,0.0,0.0,0.996020215308017,119629.0
3753,1994,110715.0,113356.0,4836.0,4968.0,112676.0,9.0,0.0,0.0,0.0,0.9940805956455767,112685.0
3754,1995,114191.0,123199.0,2301.0,8966.0,122487.0,10.0,0.0,0.0,0.0,0.994301901801151,122497.0
3755,1996,112806.0,104984.0,13212.0,4236.0,104148.0,9.0,0.0,0.0,0.0,0.992122609159491,104157.0
3756,1997,113042.0,111657.0,8692.0,4874.0,110938.0,11.0,0.0,0.0,0.0,0.9936591525833579,110949.0
3757,1998,118259.0,117008.0,8046.0,4412.0,116280.0,11.0,0.0,0.0,0.0,0.9938722138657186,116291.0
3758,1999,119106.0,122717.0,6856.0,8775.0,121882.0,25.0,0.0,0.0,0.0,0.9933994475093101,121907.0
3759,2000,122179.0,142982.0,1474.0,20529.0,142289.0,31.0,0.0,0.0,0.0,0.9953700465792897,142320.0
3760,2001,123141.0,121890.0,10745.0,7174.0,121026.0,27.0,0.0,0.0,0.0,0.9931331528427271,121053.0
3761,2002,119248.0,130705.0,5335.0,15046.0,129837.0,75.0,0.0,0.0,0.0,0.9939329023373246,129912.0
3762,2003,113542.0,107273.0,13422.0,5548.0,106084.0,218.0,0.0,0.0,0.0,0.9909483280974709,106302.0
3763,2004,119967.0,110617.0,15309.0,3854.0,109291.0,252.0,0.0,0.0,0.0,0.9902908232911759,109543.0
3764,2005,123540.0,138009.0,3653.0,15695.0,136452.0,499.0,0.0,0.0,0.0,0.9923338333007268,136951.0
3765,2006,120717.0,121582.0,9801.0,8947.0,119729.0,636.0,0.0,0.0,0.0,0.9899902946159793,120365.0
3766,2007,124325.0,137192.0,5285.0,15320.0,134736.0,892.0,0.0,0.0,0.0,0.9885999183625868,135628.0
3767,2008,125624.0,142134.0,3412.0,17275.0,139981.0,913.0,0.0,0.0,0.0,0.9912758382934413,140894.0
3768,2009,120198.0,131773.0,5651.0,14634.0,126077.0,977.0,0.0,0.0,0.0,0.9641884149256676,127054.0
3769,2010,129200.0,123640.0,14673.0,7124.0,117152.0,879.0,0.0,0.0,0.0,0.9546344225169848,118031.0
3770,2011,121486.0,127655.0,11255.0,14329.0,121552.0,1283.0,0.0,0.0,0.0,0.9622419803376288,122835.0
3771,2012,126867.0,147716.0,4190.0,22006.0,142812.0,1548.0,0.0,0.0,0.0,0.9772807278832354,144360.0
3772,2013,126571.0,133975.0,10135.0,15141.0,128699.0,1881.0,0.0,0.0,0.0,0.9746594513901847,130580.0
3773,2014,124139.0,142327.0,6347.0,21932.0,136636.0,2216.0,0.0,0.0,0.0,0.9755843936849649,138852.0
