,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3774,1990,4258.0,4504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3775,1991,4365.0,4625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3776,1992,4841.0,5113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3777,1993,5518.0,5833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3778,1994,5869.0,6187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3779,1995,6173.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3780,1996,6487.0,6802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3781,1997,6964.0,7318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3782,1998,7812.0,8200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3783,1999,8018.0,8413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3784,2000,8682.0,9111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3785,2001,9178.0,9737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3786,2002,9851.0,10331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3787,2003,10303.0,10714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3788,2004,10959.0,11499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3789,2005,12023.0,12648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3790,2006,10934.0,13287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3791,2007,11664.0,14167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3792,2008,15720.0,16049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3793,2009,17823.0,18445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3794,2010,19160.0,19819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3795,2011,21354.0,21874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3796,2012,24365.0,25017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3797,2013,25661.0,26240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3798,2014,28343.0,29128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
