,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3799,1990,89407.0,94994.0,0.0,0.0,8196.0,0.0,0.0,0.0,0.0,0.08627913341895277,8196.0
3800,1991,99186.0,105528.0,0.0,0.0,5510.0,0.0,0.0,0.0,0.0,0.05221363050564779,5510.0
3801,1992,107746.0,114329.0,0.0,0.0,8353.0,0.0,0.0,0.0,0.0,0.07306107811666332,8353.0
3802,1993,117869.0,125773.0,0.0,0.0,6721.0,0.0,0.0,0.0,0.0,0.05343754223879529,6721.0
3803,1994,126474.0,136023.0,0.0,0.0,8889.0,0.0,0.0,0.0,0.0,0.06534924240753402,8889.0
3804,1995,135779.0,145980.0,0.0,0.0,8881.0,0.0,0.0,0.0,0.0,0.060837100972735994,8881.0
3805,1996,145526.0,156685.0,0.0,0.0,9046.0,0.0,0.0,0.0,0.0,0.057733669464211636,9046.0
3806,1997,154993.0,166515.0,0.0,0.0,9567.0,0.0,0.0,0.0,0.0,0.05745428339789208,9567.0
3807,1998,151161.0,163186.0,0.0,0.0,10608.0,0.0,0.0,0.0,0.0,0.06500557645876484,10608.0
3808,1999,157716.0,169473.0,0.0,0.0,8942.0,0.0,0.0,0.0,0.0,0.05276356705787943,8942.0
3809,2000,172092.0,184852.0,0.0,0.0,8870.0,0.0,0.0,0.0,0.0,0.047984333412676085,8870.0
3810,2001,174563.0,188531.0,0.0,0.0,9169.0,12.0,0.0,0.0,0.0,0.048697561674207426,9181.0
3811,2002,184471.0,198830.0,0.0,0.0,6368.0,8.0,0.0,0.0,0.0,0.03206759543328472,6376.0
3812,2003,193864.0,209072.0,0.0,0.0,6896.0,24.0,0.0,0.0,0.0,0.033098645442718296,6920.0
3813,2004,203634.0,218397.0,0.0,0.0,6556.0,25.0,1.0,0.0,0.0,0.030137776617810683,6582.0
3814,2005,211931.0,227362.0,0.0,0.0,7825.0,91.0,1.0,0.0,0.0,0.034821122263175026,7917.0
3815,2006,219291.0,235464.0,0.0,0.0,7999.0,277.0,1.0,0.0,0.0,0.03515187034960758,8277.0
3816,2007,226663.0,243121.0,0.0,0.0,8350.0,444.0,2.0,0.0,0.0,0.03617951554987023,8796.0
3817,2008,222871.0,238313.0,0.0,0.0,7772.0,589.0,4.0,0.0,0.0,0.03510089671986002,8365.0
3818,2009,214379.0,229694.0,0.0,0.0,7053.0,787.0,8.0,0.0,0.0,0.034167196356892214,7848.0
3819,2010,231656.0,246996.0,0.0,0.0,7255.0,976.0,23.0,0.0,0.0,0.03341754522340443,8254.0
3820,2011,236694.0,252016.0,0.0,0.0,6902.0,1371.0,33.0,0.0,0.0,0.032958224874611135,8306.0
3821,2012,235630.0,250336.0,0.0,0.0,8606.0,1262.0,276.0,0.0,0.0,0.04052153905151477,10144.0
3822,2013,237719.0,252351.0,0.0,0.0,8610.0,1640.0,338.0,0.0,0.0,0.04195743230658884,10588.0
3823,2014,244755.0,260025.0,0.0,0.0,7439.0,1500.0,552.0,0.0,0.0,0.03650033650610518,9491.0
