,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3826,1990,36577.0,37660.0,0.0,0.0,16925.0,0.0,0.0,0.0,0.0,0.4494158258098779,16925.0
3827,1991,39688.0,41042.0,0.0,0.0,18303.0,0.0,0.0,0.0,0.0,0.44595779932751817,18303.0
3828,1992,43962.0,45466.0,0.0,0.0,18647.0,0.0,0.0,0.0,0.0,0.41013064707693664,18647.0
3829,1993,47265.0,48751.0,0.0,0.0,21112.0,0.0,0.0,0.0,0.0,0.4330577834300835,21112.0
3830,1994,48920.0,50640.0,0.0,0.0,19436.0,0.0,0.0,0.0,0.0,0.3838072669826224,19436.0
3831,1995,51811.0,53555.0,0.0,0.0,22858.0,0.0,0.0,0.0,0.0,0.42681355615722155,22858.0
3832,1996,54907.0,56946.0,0.0,0.0,23206.0,0.0,0.0,0.0,0.0,0.40750886805043374,23206.0
3833,1997,56768.0,59125.0,0.0,0.0,20858.0,0.0,0.0,0.0,0.0,0.35277801268498943,20858.0
3834,1998,59819.0,62104.0,0.0,0.0,22060.0,0.0,0.0,0.0,0.0,0.3552106144531753,22060.0
3835,1999,63168.0,65402.0,0.0,0.0,22449.0,0.0,0.0,0.0,0.0,0.34324638390263296,22449.0
3836,2000,63120.0,65760.0,0.0,0.0,19288.0,0.0,0.0,0.0,0.0,0.29330900243309005,19288.0
3837,2001,65146.0,68141.0,0.0,0.0,17194.0,0.0,0.0,0.0,0.0,0.25232972806386755,17194.0
3838,2002,72698.0,75682.0,0.0,0.0,22351.0,0.0,0.0,0.0,0.0,0.29532781903226657,22351.0
3839,2003,77862.0,80826.0,73.0,0.0,26944.0,0.0,0.0,0.0,0.0,0.3333580778462376,26944.0
3840,2004,82364.0,85628.0,109.0,0.0,25671.0,0.0,0.0,0.0,0.0,0.29979679544074367,25671.0
3841,2005,90109.0,93629.0,146.0,0.0,30862.0,0.0,0.0,0.0,0.0,0.32962009633767314,30862.0
3842,2006,94624.0,98213.0,171.0,0.0,31953.0,0.0,0.0,0.0,0.0,0.32534389541099445,31953.0
3843,2007,92142.0,95661.0,199.0,0.0,28707.0,0.0,0.0,0.0,0.0,0.30009094615360493,28707.0
3844,2008,89766.0,91616.0,227.0,0.0,27784.0,0.0,0.0,0.0,0.0,0.3032658050995459,27784.0
3845,2009,93304.0,95358.0,249.0,0.0,28093.0,0.0,0.0,0.0,0.0,0.2946055915602257,28093.0
3846,2010,92413.0,94383.0,269.0,0.0,31811.0,0.0,0.0,0.0,0.0,0.3370416282593264,31811.0
3847,2011,92814.0,95090.0,274.0,0.0,28517.0,0.0,0.0,0.0,0.0,0.29989483647071197,28517.0
3848,2012,93160.0,96126.0,375.0,0.0,29857.0,0.0,0.0,0.0,0.0,0.31060275055656117,29857.0
3849,2013,100738.0,104076.0,419.0,0.0,31873.0,397.0,0.0,0.0,0.0,0.31006187785848804,32270.0
3850,2014,101932.0,105305.0,428.0,0.0,31428.0,397.0,0.0,0.0,0.0,0.3022173685959831,31825.0
