,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3851,1992,95.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3852,1993,95.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3853,1994,95.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3854,1995,95.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3855,1996,96.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3856,1997,96.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3857,1998,96.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3858,1999,95.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3859,2000,102.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3860,2001,105.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3861,2002,104.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3862,2003,105.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3863,2004,109.0,113.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3864,2005,113.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3865,2006,103.0,107.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3866,2007,94.6,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3867,2008,86.2,91.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3868,2009,77.8,82.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3869,2010,75.4,80.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3870,2011,72.5,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3871,2012,72.5,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3872,2013,72.5,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3873,2014,73.7,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
