,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3874,1990,2856.0,2771.0,204.0,90.0,2213.0,0.0,0.0,0.0,0.0,0.7986286539155539,2213.0
3875,1991,3017.0,2910.0,203.0,64.0,2036.0,0.0,0.0,0.0,0.0,0.6996563573883161,2036.0
3876,1992,3123.0,3016.0,211.0,65.0,1891.0,0.0,0.0,0.0,0.0,0.6269893899204244,1891.0
3877,1993,3336.0,3286.0,192.0,102.0,2295.0,0.0,0.0,0.0,0.0,0.6984175289105296,2295.0
3878,1994,3481.0,3475.0,149.0,66.0,2391.0,0.0,0.0,0.0,0.0,0.6880575539568345,2391.0
3879,1995,3502.0,3535.0,85.0,78.0,2418.0,0.0,0.0,0.0,0.0,0.684016973125884,2418.0
3880,1996,3749.0,3887.0,49.0,138.0,3003.0,0.0,0.0,0.0,0.0,0.7725752508361204,3003.0
3881,1997,4250.0,4051.0,421.0,170.0,2902.0,0.0,0.0,0.0,0.0,0.7163663293014071,2902.0
3882,1998,4297.0,4191.0,174.0,23.0,2140.0,0.0,0.0,0.0,0.0,0.5106179909329516,2140.0
3883,1999,4474.0,4580.0,45.0,106.0,3125.0,0.0,0.0,0.0,0.0,0.6823144104803494,3125.0
3884,2000,4967.0,4887.0,135.0,18.0,3418.0,0.0,0.0,0.0,0.0,0.6994065889093514,3418.0
3885,2001,4999.0,5124.0,43.0,118.0,2499.0,0.0,0.0,0.0,0.0,0.48770491803278687,2499.0
3886,2002,4952.0,5023.0,35.0,49.0,3278.0,0.0,0.0,0.0,0.0,0.6525980489747163,3278.0
3887,2003,5341.0,5582.0,2.0,179.0,2823.0,0.0,0.0,0.0,0.0,0.505732712289502,2823.0
3888,2004,5572.0,5761.0,0.0,129.0,3779.0,0.0,0.0,0.0,0.0,0.6559625065092866,3779.0
3889,2005,5711.0,5827.0,0.0,51.0,3724.0,0.0,0.0,0.0,0.0,0.6390938733482067,3724.0
3890,2006,5873.0,5989.0,0.0,49.0,3580.0,0.0,0.0,0.0,0.0,0.5977625647019535,3580.0
3891,2007,6334.0,6457.0,9.0,125.0,3706.0,0.0,0.0,0.0,0.0,0.5739507511228125,3706.0
3892,2008,6494.0,6428.0,105.0,32.0,3972.0,0.0,0.0,0.0,0.0,0.6179215930304915,3972.0
3893,2009,6871.0,6909.0,64.0,95.0,3897.0,0.0,0.0,0.0,0.0,0.5640468953538862,3897.0
3894,2010,7444.0,7418.9,71.0,39.0,4194.0,0.0,0.0,0.0,0.0,0.5653129170092601,4194.0
3895,2011,7913.0,7857.4,72.0,8.0,4098.0,0.0,0.0,0.0,0.0,0.5215465675668797,4098.0
3896,2012,8558.0,8605.6,19.0,59.0,5388.0,0.0,0.0,0.0,0.0,0.6261039323231384,5388.0
3897,2013,8958.3,8962.2,75.4,71.4,5154.3,0.0,0.0,0.0,0.0,0.575115485037156,5154.3
3898,2014,9370.2,9287.0,192.9,98.5,5033.8,116.3,1.3,0.0,0.0,0.554689350705287,5151.400000000001
