,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3899,1990,1790.0,1790.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.2569832402234637,460.0
3900,1991,1790.0,1790.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.2569832402234637,460.0
3901,1992,1790.0,1790.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.2569832402234637,460.0
3902,1993,1790.0,1790.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.2569832402234637,460.0
3903,1994,1288.0,1288.0,0.0,0.0,804.0,0.0,0.0,0.0,0.0,0.6242236024844721,804.0
3904,1995,1574.0,1574.0,0.0,0.0,871.0,0.0,0.0,0.0,0.0,0.5533672172808132,871.0
3905,1996,1759.0,1759.0,0.0,0.0,943.0,0.0,0.0,0.0,0.0,0.5361000568504832,943.0
3906,1997,1625.0,1625.0,0.0,0.0,710.0,0.0,0.0,0.0,0.0,0.4369230769230769,710.0
3907,1998,2174.0,2174.0,0.0,0.0,869.0,0.0,0.0,0.0,0.0,0.3997240110395584,869.0
3908,1999,2303.0,2303.0,0.0,0.0,919.0,349.0,0.0,0.0,0.0,0.5505861919235779,1268.0
3909,2000,2273.0,2373.0,0.0,0.0,931.0,186.0,0.0,0.0,0.0,0.47071217867678045,1117.0
3910,2001,2587.0,2687.0,0.0,0.0,931.0,0.0,0.0,0.0,0.0,0.34648306661704503,931.0
3911,2002,2785.0,2885.0,0.0,0.0,931.0,0.0,0.0,0.0,0.0,0.32270363951473136,931.0
3912,2003,3078.0,3178.0,0.0,0.0,929.0,0.0,0.0,0.0,0.0,0.2923222152297042,929.0
3913,2004,3363.0,3402.0,0.0,0.0,829.0,0.0,0.0,0.0,0.0,0.24368018812463257,829.0
3914,2005,3438.0,3438.0,0.0,0.0,861.0,0.0,0.0,132.0,0.0,0.28883071553228623,993.0
3915,2006,3348.0,3348.0,0.0,0.0,863.0,0.0,0.0,227.0,0.0,0.3255675029868578,1090.0
3916,2007,3430.0,3429.0,0.0,0.0,909.0,0.0,0.0,422.0,0.0,0.3881598133566638,1331.0
3917,2008,3510.0,3510.0,0.0,0.0,931.0,0.0,0.0,422.0,0.0,0.3854700854700855,1353.0
3918,2009,3486.0,3486.0,0.0,0.0,944.0,0.0,0.0,422.0,0.0,0.3918531267928858,1366.0
3919,2010,3630.0,3631.0,0.0,0.0,957.0,0.0,0.0,422.0,0.0,0.3797851831451391,1379.0
3920,2011,3666.0,3666.0,0.0,0.0,969.0,0.0,0.0,422.0,0.0,0.37943262411347517,1391.0
3921,2012,3763.0,3764.0,0.0,0.0,983.0,0.0,0.0,422.0,0.0,0.3732731137088204,1405.0
3922,2013,4169.0,4169.0,0.0,0.0,995.0,0.0,0.0,422.0,0.0,0.33988966178939795,1417.0
3923,2014,4169.0,4169.0,0.0,0.0,995.0,0.0,0.0,422.0,0.0,0.33988966178939795,1417.0
