,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3924,1990,2275.0,27226.0,3.0,24804.0,27199.0,0.0,0.0,0.0,0.0,0.9990083008888563,27199.0
3925,1991,2481.0,29396.0,0.0,26803.0,29373.0,0.0,0.0,0.0,0.0,0.9992175806232141,29373.0
3926,1992,2394.0,27141.0,1.0,24619.0,27115.0,0.0,0.0,0.0,0.0,0.999042039718507,27115.0
3927,1993,3231.0,31454.0,1.0,28121.0,31411.0,0.0,0.0,0.0,0.0,0.9986329242703631,31411.0
3928,1994,3705.0,36420.0,1.0,32601.0,36396.0,0.0,0.0,0.0,0.0,0.9993410214168039,36396.0
3929,1995,4336.0,39855.0,0.0,35369.0,39712.0,0.0,0.0,0.0,0.0,0.9964119934763518,39712.0
3930,1996,4610.0,44818.0,0.0,40025.0,44772.0,0.0,0.0,0.0,0.0,0.9989736266678567,44772.0
3931,1997,5086.0,50855.0,0.0,45525.0,50805.0,0.0,0.0,0.0,0.0,0.9990168125061449,50805.0
3932,1998,5407.44,50873.74,0.0,45207.7,50824.04,0.0,0.0,0.0,0.0,0.9990230716279166,50824.04
3933,1999,5740.24,51960.1,0.0,46025.71,51910.28,0.0,0.0,0.0,0.0,0.9990411873726186,51910.28
3934,2000,5905.79,53482.4,0.0,47330.5,53481.4,0.0,0.0,0.0,0.0,0.9999813022601828,53481.4
3935,2001,5957.54,45309.0,0.01,39129.07,45308.0,0.0,0.0,0.0,0.0,0.9999779293297137,45308.0
3936,2002,6201.29,48203.7,0.02,41765.22,48202.7,0.0,0.0,0.0,0.0,0.9999792547045144,48202.7
3937,2003,6198.01,51762.11,0.01,45172.61,51761.11,0.0,0.0,0.0,0.0,0.9999806808493703,51761.11
3938,2004,6635.69,51921.21,0.17,44996.59,51920.75,0.0,0.0,0.0,0.0,0.9999911404221897,51920.75
3939,2005,7108.8100000000095,51156.35,2.21,43783.88,51155.7,0.0,0.0,0.0,0.0,0.9999872938550151,51155.7
3940,2006,7796.9,53774.44,0.63,45699.19,53773.67,0.0,0.0,0.0,0.0,0.9999856809294526,53773.67
3941,2007,8296.9,53714.88,0.0,45126.61,53714.25,0.0,0.0,0.0,0.0,0.9999882714063589,53714.25
3942,2008,8889.05,55454.48,0.08,46291.7,55453.85,0.0,0.0,0.0,0.0,0.9999886393308529,55453.85
3943,2009,9589.490000000009,54939.69,0.0,45041.92,54938.95,0.0,0.0,0.0,0.0,0.999986530684829,54938.95
3944,2010,10239.15,54065.59,0.0,43377.67,54064.77,0.0,0.0,0.0,0.0,0.9999848332368148,54064.77
3945,2011,11003.92,57624.99,0.0,46119.83,57624.09,0.0,0.0,0.0,0.0,0.9999843817760316,57624.09
3946,2012,12067.4,60234.61,0.0,47662.72,60231.54,0.0,0.0,0.0,0.0,0.999949032624267,60231.54
3947,2013,12510.34,60381.03,0.0,47364.95,60377.85,0.0,0.0,0.0,0.0,0.999947334452559,60377.85
3948,2014,13432.0,55282.3,0.0,41400.1,55276.4,0.0,0.0,0.0,0.0,0.9998932750627235,55276.4
