,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3949,1990,13684.0,13824.0,0.0,0.0,10480.0,0.0,0.0,0.0,0.0,0.7581018518518519,10480.0
3950,1991,15081.0,15325.0,0.0,0.0,11493.0,0.0,0.0,0.0,0.0,0.7499510603588907,11493.0
3951,1992,13209.0,13418.0,0.0,0.0,9784.0,0.0,0.0,0.0,0.0,0.7291697719481294,9784.0
3952,1993,14441.0,14697.0,0.0,0.0,11795.0,0.0,0.0,0.0,0.0,0.8025447370211608,11795.0
3953,1994,15428.0,15660.0,1.0,0.0,12754.0,0.0,0.0,0.0,0.0,0.8144316730523627,12754.0
3954,1995,17207.0,17440.0,1.0,0.0,13782.0,0.0,0.0,0.0,0.0,0.7902522935779817,13782.0
3955,1996,16940.0,17280.0,1.0,0.0,13549.0,0.0,0.0,0.0,0.0,0.7840856481481482,13549.0
3956,1997,17673.0,17951.0,2.0,0.0,13213.0,0.0,0.0,0.0,0.0,0.7360592724639295,13213.0
3957,1998,18299.0,18582.0,1.0,0.0,13808.3,0.0,0.0,0.0,0.0,0.7431008502852222,13808.3
3958,1999,18790.6261,19049.6718,0.3,0.0,14540.5793,0.0,0.0,0.0,0.0,0.7632981529897014,14540.5793
3959,2000,19622.2037,19922.3137,0.0,0.0,16175.8697,0.0,0.0,0.0,0.0,0.8119473442484745,16175.8697
3960,2001,20652.0,20948.0,0.0,0.0,17606.0,1.0,0.0,0.0,0.0,0.8405098338743555,17607.0
3961,2002,21805.0,22176.0,0.0,0.0,18040.0,1.0,0.0,0.0,0.0,0.8135371572871573,18041.0
3962,2003,22725.0,23128.0,0.0,0.0,18534.0,1.0,0.0,0.0,0.0,0.8014095468695953,18535.0
3963,2004,24052.0,24415.0,0.0,0.0,17525.0,1.0,0.0,0.0,0.0,0.7178373950440303,17526.0
3964,2005,25279.0,25660.0,0.0,0.0,19962.0,1.0,0.0,0.0,0.0,0.7779812938425565,19963.0
3965,2006,26932.0,27358.0,0.0,0.0,21483.0,1.0,0.0,0.0,0.0,0.7852913224650925,21484.0
3966,2007,29438.0,29931.0,0.0,0.0,19549.0,1.0,0.0,0.0,0.0,0.6531689552637734,19550.0
3967,2008,31895.0,32430.0,0.0,0.0,19040.0,1.0,0.0,0.0,0.0,0.5871415356151711,19041.0
3968,2009,32367.0,32929.0,0.0,63.0,19491.0,1.0,0.0,0.0,0.0,0.5919402350511707,19492.0
3969,2010,35215.0,35890.0,0.0,112.0,20042.0,1.0,0.0,0.0,0.0,0.5584563945388688,20043.0
3970,2011,38259.1,38810.7,6.0,0.0,21561.6,1.2,0.0,0.0,0.0,0.5555890514729186,21562.8
3971,2012,39483.0,40043.9,5.0,2.0,22031.9,1.2,59.7,0.0,0.0,0.5517144933435555,22092.800000000003
3972,2013,42741.1,43330.1,0.0,0.0,22319.6,1.2,196.9,0.0,0.0,0.5196780067435801,22517.7
3973,2014,44708.0,45508.0,0.0,0.0,22171.0,256.0,199.0,0.0,0.0,0.4971873077261141,22626.0
