,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3974,1990,23531.0,24658.0,0.0,0.0,6061.0,0.0,0.0,5466.0,0.0,0.4674750588044448,11527.0
3975,1991,22981.0,24067.0,0.0,0.0,5160.0,0.0,0.0,5757.0,0.0,0.4536086757801138,10917.0
3976,1992,22203.0,23336.0,0.0,0.0,4267.0,0.0,0.0,5700.0,0.0,0.427108330476517,9967.0
3977,1993,22718.0,23845.0,0.0,0.0,5009.0,0.0,0.0,5668.0,0.0,0.4477668274271336,10677.0
3978,1994,27542.0,28674.0,0.0,0.0,5877.0,0.0,0.0,6320.0,0.0,0.42536792913440746,12197.0
3979,1995,29649.0,30875.0,0.0,0.0,6247.0,0.0,0.0,6135.0,0.0,0.4010364372469636,12382.0
3980,1996,32012.0,33352.0,0.0,0.0,7046.0,0.0,0.0,6534.0,0.0,0.4071719836891341,13580.0
3981,1997,35277.0,36715.0,0.0,0.0,6048.0,0.0,0.0,7237.0,0.0,0.36184120931499386,13285.0
3982,1998,36814.0,38404.0,0.0,0.0,5100.0,0.0,0.0,8914.0,0.0,0.36490990521820643,14014.0
3983,1999,39793.0,41328.0,0.0,0.0,7857.0,0.0,0.0,10594.0,0.0,0.44645276809910955,18451.0
3984,2000,42937.0,45327.0,0.0,0.0,7816.0,0.0,0.0,11626.0,0.0,0.4289275707635626,19442.0
3985,2001,44863.0,47059.0,0.0,0.0,7121.0,0.0,0.0,10442.0,0.0,0.3732123504536858,17563.0
3986,2002,44611.0,48484.0,0.0,0.0,7050.0,0.0,0.0,10242.0,0.0,0.35665374144047524,17292.0
3987,2003,49487.0,52897.0,0.0,0.0,7886.0,0.0,0.0,9822.0,0.0,0.33476378622606195,17708.0
3988,2004,51303.0,55957.0,0.0,0.0,8610.0,0.0,0.0,10282.0,0.0,0.3376163840091499,18892.0
3989,2005,51912.0,56604.0,0.0,0.0,8387.0,55.0,0.0,9902.0,0.0,0.3240760370291852,18344.0
3990,2006,52592.0,56819.0,0.0,0.0,9956.0,55.0,1.0,10465.0,0.0,0.3603900103838505,20477.0
3991,2007,55651.5183,59645.788,0.0,0.0,8580.4326,57.8419,1.3094,10214.6884,0.0,0.3161040021803383,18854.272299999997
3992,2008,56920.3032,60855.0032,0.0,0.0,9859.5337,61.3857,1.3041,10722.7797,0.0,0.33924906933535415,20645.0032
3993,2009,58444.0,61968.4,0.0,0.0,9804.6,64.4,1.3,10323.8,0.0,0.3258773826660039,20194.1
3994,2010,63100.0,67776.8,0.0,0.0,7820.4,61.7,1.3,9929.2,0.0,0.2628126438545343,17812.6
3995,2011,63811.0,69209.6,0.0,0.0,9714.5,88.2,1.2,9942.3,0.0,0.28531013038653597,19746.2
3996,2012,67605.0,72955.9,0.0,0.0,10269.1,75.3,1.3,10250.0,0.0,0.2823034189147142,20595.699999999997
3997,2013,69755.3,75300.0,0.0,0.0,10036.3,65.7,1.4,9604.6,0.0,0.261726427622842,19708.0
3998,2014,70615.2,77295.3,0.0,0.0,9154.3,152.1,16.5,10308.1,0.0,0.2539740449936801,19631.0
