,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3999,1990,119755.0,136311.0,10437.0,11478.0,3313.0,0.0,0.0,0.0,0.0,0.024304714953305308,3313.0
4000,1991,116816.0,134714.0,6708.0,9326.0,3411.0,0.0,0.0,0.0,0.0,0.025320308208500973,3411.0
4001,1992,113552.0,132750.0,5034.0,9066.0,3570.0,0.0,0.0,0.0,0.0,0.02689265536723164,3570.0
4002,1993,116264.0,133867.0,5600.0,8011.0,3576.0,0.0,0.0,0.0,0.0,0.026713080893722874,3576.0
4003,1994,117306.0,135347.0,4563.0,7242.0,3786.0,0.0,0.0,0.0,0.0,0.027972544644506343,3786.0
4004,1995,121880.0,139006.0,4356.0,7157.0,3851.0,1.0,0.0,0.0,0.0,0.02771103405608391,3852.0
4005,1996,125326.0,143173.0,4801.0,7925.0,3910.0,0.0,0.0,0.0,0.0,0.027309618433643216,3910.0
4006,1997,125536.0,142790.0,5357.0,7542.0,3816.0,2.0,0.0,0.0,0.0,0.026738567126549477,3818.0
4007,1998,123998.0,142789.0,4608.0,8082.0,4327.0,4.0,0.0,0.0,0.0,0.03033146811028861,4331.0
4008,1999,121598.0,142128.0,3491.0,8426.0,4282.0,4.0,0.0,0.0,0.0,0.030155915794213665,4286.0
4009,2000,123052.0,145184.0,3290.0,9663.0,4116.0,5.0,0.0,0.0,0.0,0.028384670487106016,4121.0
4010,2001,123336.0,145616.0,4306.0,11035.0,4220.0,14.0,0.0,0.0,0.0,0.029076475112624987,4234.0
4011,2002,122057.0,144126.0,4469.0,11537.0,3906.0,61.0,0.0,0.0,0.0,0.02752452714985499,3967.0
4012,2003,125922.0,151631.0,4985.0,15146.0,3293.0,124.0,0.0,0.0,0.0,0.022534969762119883,3417.0
4013,2004,129229.0,154159.0,5312.0,14605.0,3691.0,142.0,0.0,0.0,0.0,0.024863939179678125,3833.0
4014,2005,130222.0,156936.0,5002.0,16188.0,3778.0,135.0,0.0,0.0,0.0,0.024933730947647448,3913.0
4015,2006,135300.0,161742.0,4789.0,15775.0,3020.0,256.0,0.0,0.0,0.0,0.020254479356011424,3276.0
4016,2007,139157.0,159348.0,7761.0,13109.0,2939.0,522.0,0.0,0.0,0.0,0.02171975801390667,3461.0
4017,2008,139939.0,155305.0,9034.0,9703.0,2747.0,837.0,0.0,0.0,0.0,0.023077170728566368,3584.0
4018,2009,134833.0,151720.0,7403.0,9594.0,2974.0,1077.0,0.0,0.0,0.0,0.02670050092275244,4051.0
4019,2010,141275.0,157657.0,6310.0,7664.0,3488.0,1664.0,0.0,0.0,0.0,0.03267853631618006,5152.0
4020,2011,143026.0,163548.0,6780.0,12022.0,2761.0,3205.0,0.0,0.0,0.0,0.036478587326044955,5966.0
4021,2012,144162.0,162139.0,9803.0,12643.0,2465.0,4747.0,1.0,0.0,0.0,0.044486520824724464,7213.0
4022,2013,144692.0,164557.0,7801.0,12322.0,2997.0,6004.0,1.0,0.0,0.0,0.054704448914357946,9002.0
4023,2014,146558.0,159059.0,13508.0,11342.0,2734.0,7676.0,7.0,0.0,0.0,0.06549142142223954,10417.0
