,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4024,1990,27112.0,28501.0,1733.0,1696.0,9303.0,1.0,1.0,4.0,0.0,0.3266201185923301,9309.0
4025,1991,28560.0,29872.0,1712.0,1620.0,9176.0,1.0,1.0,5.0,0.0,0.30741162292447777,9183.0
4026,1992,29439.0,30088.0,2538.0,1197.0,5074.0,4.0,1.0,5.0,0.0,0.16897101834618453,5084.0
4027,1993,29824.0,31206.0,2077.0,1902.0,8737.0,11.0,1.0,4.0,0.0,0.28049093123117347,8753.0
4028,1994,31017.0,31382.0,2257.0,1369.0,10702.0,17.0,1.0,33.0,0.0,0.3426486520935568,10753.0
4029,1995,32621.0,33265.0,2655.0,1741.0,8454.0,16.0,1.0,42.0,0.0,0.2559146249812115,8513.0
4030,1996,34159.0,34521.0,4116.0,3005.0,14857.0,21.0,1.0,49.0,0.0,0.43243243243243246,14928.0
4031,1997,35656.0,34208.0,5376.0,2477.0,13175.0,38.0,1.0,51.0,0.0,0.3877747895229186,13265.0
4032,1998,37652.0,38984.0,3974.0,3700.0,13054.0,89.0,1.0,58.0,0.0,0.3386517545659758,13202.0
4033,1999,40389.0,43287.0,3628.0,4488.0,7631.0,123.0,1.0,80.0,0.0,0.18100122438607433,7835.0
4034,2000,42588.0,43764.0,4698.0,3767.0,11715.0,168.0,1.0,80.0,0.0,0.27337537702221004,11964.0
4035,2001,44598.0,46509.0,3741.0,3502.0,14375.0,256.0,1.0,105.0,0.0,0.3168634027822572,14737.0
4036,2002,45619.0,46107.0,5329.0,3430.0,8257.0,362.0,2.0,96.0,0.0,0.18906022946624157,8717.0
4037,2003,47684.0,46852.0,5898.0,3104.0,16054.0,496.0,3.0,90.0,0.0,0.35522496371552975,16643.0
4038,2004,49555.0,45105.0,8612.0,2131.0,10147.0,816.0,3.0,84.0,0.0,0.24498392639396963,11050.0
4039,2005,51240.0,46575.0,9626.0,2802.0,5118.0,1773.0,3.0,71.0,0.0,0.14954374664519593,6965.0
4040,2006,52231.0,49041.0,8624.0,3183.0,11467.0,2925.0,5.0,85.0,0.0,0.29530392936522504,14482.0
4041,2007,52856.0,47253.0,9641.0,2153.0,10449.0,4037.0,24.0,201.0,0.0,0.3113241487312975,14711.0
4042,2008,53371.0,45969.0,10744.0,1313.0,7296.0,5757.0,38.0,192.0,0.0,0.2889556005133895,13283.0
4043,2009,52565.0,50207.0,7598.0,2822.0,9009.0,7577.0,160.0,184.0,0.0,0.3372039755412592,16930.0
4044,2010,54893.0,54090.0,5814.0,3191.0,16547.0,9182.0,211.0,197.0,0.0,0.4832131632464411,26137.0
4045,2011,53204.0,52463.0,6742.0,3929.0,12115.0,9161.0,280.0,210.0,0.0,0.4148828698320721,21766.0
4046,2012,51817.0,46614.0,10766.0,2871.0,6660.0,10259.0,393.0,146.0,0.0,0.37452267559102415,17458.0
4047,2013,51728.0,51672.0,8100.0,5324.0,14868.0,12014.0,479.0,197.0,0.0,0.5333255921969345,27558.0
4048,2014,51348.0,52802.0,7247.0,6344.0,16412.0,12111.0,627.0,205.0,0.0,0.5559448505738419,29355.0
