,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4049,1990,15328.0,16028.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.01746942850012478,280.0
4050,1991,15521.0,16221.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.01787805930583811,290.0
4051,1992,16205.0,16905.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.01774622892635315,300.0
4052,1993,16445.0,17434.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.00797292646552713,139.0
4053,1994,17025.0,18086.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.002543403737697667,46.0
4054,1995,17682.0,18747.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.005334186803221849,100.0
4055,1996,18010.0,19130.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.007370622059592264,141.0
4056,1997,18868.0,20005.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.004648837790552362,93.0
4057,1998,18263.0,19396.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.005155702206640545,100.0
4058,1999,20947.0,22073.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.007248674851628687,160.0
4059,2000,20729.0,21814.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.007334739158338681,160.0
4060,2001,21203.0,22302.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.009416195856873822,210.0
4061,2002,22086.0,23176.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.009492578529513289,220.0
4062,2003,22914.0,23937.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.01086184567823871,260.0
4063,2004,23004.8,24135.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.005717837165941579,138.0
4064,2005,23846.8,24962.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0055284031728226905,138.0
4065,2006,23837.4,24947.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.005692067182426745,142.0
4066,2007,23718.3,24636.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.006656924825458679,164.0
4067,2008,22270.9,23117.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.006748280486222261,156.0
4068,2009,22013.0,23238.5,0.0,0.0,169.5,0.0,0.0,0.0,0.0,0.007293930331131527,169.5
4069,2010,22809.0,23497.3,0.0,0.0,132.8,0.0,0.0,0.0,0.0,0.005651713175556341,132.8
4070,2011,21889.7,22507.4,0.0,0.0,149.5,0.0,0.0,0.0,0.0,0.0066422598789731375,149.5
4071,2012,21453.6,22555.6,0.0,0.0,124.8,0.0,2.1,0.0,0.0,0.005626097288478249,126.89999999999999
4072,2013,21259.0,21743.0,0.0,0.0,90.9,118.0,25.6,0.0,0.0,0.010785080255714483,234.5
4073,2014,20521.5,21316.8,0.0,0.0,81.0,219.1,47.5,0.0,0.0,0.016306387450273963,347.6
