,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4074,1990,4568.0,4818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4075,1991,4381.0,4643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4076,1992,4873.0,5153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4077,1993,5196.0,5522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4078,1994,5456.0,5815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4079,1995,5586.0,5976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4080,1996,6150.0,6575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4081,1997,6414.0,6869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4082,1998,8122.0,8122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4083,1999,8584.0,8584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4084,2000,9134.0,9134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4085,2001,9951.0,9951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4086,2002,10940.0,10940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4087,2003,11005.0,12012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4088,2004,12046.0,13233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4089,2005,13144.0,14396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4090,2006,15667.0,17080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4091,2007,17913.0,19462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4092,2008,19747.0,21616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4093,2009,22648.0,24158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4094,2010,26385.0,28144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4095,2011,28383.0,30730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,2012,32351.0,34787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4097,2013,32224.0,34668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4098,2014,36124.0,38692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
