,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4099,1992,11221.0,11248.0,4609.0,4636.0,258.0,0.0,0.0,0.0,0.0,0.02293741109530583,258.0
4100,1993,9283.0,10265.0,5013.0,5104.0,375.0,0.0,0.0,0.0,0.0,0.03653190452995616,375.0
4101,1994,7788.0,8228.0,5354.0,5003.0,278.0,0.0,0.0,0.0,0.0,0.03378706854642684,278.0
4102,1995,7321.0,6068.0,1997.0,127.0,324.0,0.0,0.0,0.0,0.0,0.053394858272907054,324.0
4103,1996,7123.0,6117.0,1610.0,4.0,366.0,0.0,0.0,0.0,0.0,0.059833251593918585,366.0
4104,1997,6702.0,5274.0,1979.0,27.0,382.0,0.0,0.0,0.0,0.0,0.07243079256731134,382.0
4105,1998,4426.0,3100.0,1916.0,0.0,84.0,0.0,0.0,0.0,0.0,0.027096774193548386,84.0
4106,1999,3254.0,1146.0,2662.0,0.0,91.0,0.0,0.0,0.0,0.0,0.07940663176265271,91.0
4107,2000,3120.0,917.0,2482.0,0.0,58.0,0.0,0.0,0.0,0.0,0.06324972737186478,58.0
4108,2001,3108.0,1272.0,2138.0,0.0,73.0,0.0,0.0,0.0,0.0,0.05738993710691824,73.0
4109,2002,3531.0,1190.0,2614.0,0.0,121.0,0.0,0.0,0.0,0.0,0.10168067226890756,121.0
4110,2003,3747.0,1046.0,3583.0,131.0,64.0,0.0,0.0,0.0,0.0,0.06118546845124283,64.0
4111,2004,3617.0,1022.0,3361.0,424.0,59.0,0.0,0.0,0.0,0.0,0.057729941291585124,59.0
4112,2005,3872.0,1229.0,2967.0,14.0,85.0,0.0,0.0,0.0,0.0,0.0691619202603743,85.0
4113,2006,3892.0,1192.0,2882.0,0.0,77.0,0.0,0.0,0.0,0.0,0.06459731543624161,77.0
4114,2007,3870.0,1100.0,2931.0,0.0,33.0,0.0,0.0,0.0,0.0,0.03,33.0
4115,2008,3904.0,1096.0,2958.0,0.0,82.0,0.0,0.0,0.0,0.0,0.07481751824817519,82.0
4116,2009,3828.0,1033.0,2941.0,0.0,55.0,0.0,0.0,0.0,0.0,0.05324298160696999,55.0
4117,2010,3956.0,1064.0,3033.0,0.0,79.0,0.0,0.0,0.0,0.0,0.07424812030075188,79.0
4118,2011,4025.0,1016.0,3145.0,0.0,76.0,0.0,0.0,0.0,0.0,0.07480314960629922,76.0
4119,2012,4082.0,932.0,3279.0,0.0,34.0,0.0,0.0,0.0,0.0,0.03648068669527897,34.0
4120,2013,4114.0,905.0,3332.0,0.0,45.0,1.0,0.0,0.0,0.0,0.05082872928176796,46.0
4121,2014,4178.0,963.0,3342.0,0.0,59.0,1.0,1.0,0.0,0.0,0.06334371754932502,61.0
