,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4195,1990,887.0,905.0,0.0,0.0,549.0,0.0,0.0,0.0,0.0,0.6066298342541436,549.0
4196,1991,971.0,989.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.4661274014155713,461.0
4197,1992,1073.0,1091.0,0.0,0.0,495.0,0.0,0.0,0.0,0.0,0.4537121906507791,495.0
4198,1993,1109.0,1130.0,0.0,0.0,481.0,0.0,0.0,0.0,0.0,0.42566371681415927,481.0
4199,1994,1185.0,1206.0,0.0,0.0,567.0,0.0,0.0,0.0,0.0,0.4701492537313433,567.0
4200,1995,1276.0,1298.0,0.0,0.0,601.0,0.0,0.0,0.0,0.0,0.463020030816641,601.0
4201,1996,1364.0,1386.0,0.0,0.0,625.0,0.0,0.0,0.0,0.0,0.4509379509379509,625.0
4202,1997,1449.0,1471.0,0.0,0.0,544.0,0.0,0.0,0.0,0.0,0.3698164513936098,544.0
4203,1998,1543.0,1566.0,0.0,0.0,557.0,0.0,0.0,0.0,0.0,0.3556832694763729,557.0
4204,1999,1545.0,1570.0,0.0,0.0,559.0,0.0,0.0,0.0,0.0,0.3560509554140127,559.0
4205,2000,1757.0,1758.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.3185437997724687,560.0
4206,2001,1871.0,1872.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.2670940170940171,500.0
4207,2002,1952.0,1952.0,0.0,0.0,594.0,0.0,0.0,0.0,0.0,0.3043032786885246,594.0
4208,2003,2079.0,2079.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,0.30303030303030304,630.0
4209,2004,2191.0,2191.08,0.0,0.0,577.0,0.0,0.08,0.0,0.0,0.26337696478448985,577.08
4210,2005,2271.0,2271.0,0.0,0.0,510.4,0.0,0.6,0.0,0.0,0.22501100836635843,511.0
4211,2006,2365.1,2365.1,0.0,0.0,576.4,3.7,2.0,0.0,0.0,0.24612067143038352,582.1
4212,2007,2462.8,2462.8,0.0,0.0,658.0,10.3,5.0,0.0,0.0,0.2733880136430079,673.3
4213,2008,2546.1,2546.1,0.0,0.0,632.1,15.0,6.0,0.0,0.0,0.2565099564039119,653.1
4214,2009,2618.2,2618.2,0.0,0.0,531.0,14.6,21.1,0.0,0.0,0.2164464135665725,566.7
4215,2010,2699.5,2699.5,0.0,0.0,541.5,16.9,76.1,0.0,0.0,0.2350435265789961,634.5
4216,2011,2749.8,2749.8,0.0,0.0,401.0,11.6,141.9,0.0,0.0,0.2016510291657575,554.5
4217,2012,2811.7,2811.7,0.0,0.0,488.4,18.6,190.7,0.0,0.0,0.24814169363730132,697.7
4218,2013,2813.4,2813.4,0.0,0.0,557.0,15.1,224.2,0.0,0.0,0.28303831662756807,796.3
4219,2014,2857.2,2857.2,0.0,0.0,425.8,15.7,235.9,0.0,0.0,0.23708525829483412,677.4
