,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4122,1990,65839.0,64310.0,9476.0,306.0,11411.0,1.0,0.0,0.0,0.0,0.17745296221427462,11412.0
4123,1991,58251.0,58937.0,7047.0,0.0,14588.0,0.0,0.0,0.0,0.0,0.24751853674262347,14588.0
4124,1992,52261.0,54195.0,4421.0,218.0,11700.0,0.0,0.0,0.0,0.0,0.21588707445336286,11700.0
4125,1993,51242.0,55476.0,2991.0,1118.0,12768.0,0.0,0.0,0.0,0.0,0.2301535799264547,12768.0
4126,1994,49906.0,55136.0,1790.0,1065.0,13046.0,0.0,0.0,0.0,0.0,0.23661491584445735,13046.0
4127,1995,53199.0,59266.0,755.0,456.0,16693.0,0.0,0.0,0.0,0.0,0.2816623359092903,16693.0
4128,1996,53333.0,61350.0,2242.0,1435.0,15755.0,0.0,0.0,0.0,0.0,0.25680521597392014,15755.0
4129,1997,53624.0,57148.0,777.0,556.0,17509.0,0.0,0.0,0.0,0.0,0.3063799258066774,17509.0
4130,1998,50479.0,53496.0,724.0,337.0,18879.0,0.0,0.0,0.0,0.0,0.35290489008524,18879.0
4131,1999,45383.0,50710.0,1103.0,1930.0,18290.0,0.0,0.0,0.0,0.0,0.36067836718595936,18290.0
4132,2000,47929.0,51934.0,774.0,1470.0,14778.0,0.0,0.0,0.0,0.0,0.28455347171409867,14778.0
4133,2001,49113.0,53866.0,767.0,2077.0,14923.0,0.0,0.0,0.0,0.0,0.2770393197935618,14923.0
4134,2002,48202.0,54735.0,436.0,3290.0,16046.0,0.0,0.0,0.0,0.0,0.2931579428153832,16046.0
4135,2003,49233.0,55140.0,962.0,3046.0,13259.0,0.0,0.0,0.0,0.0,0.24046064562930722,13259.0
4136,2004,51511.0,56499.0,2584.0,3766.0,16513.0,0.0,0.0,0.0,0.0,0.29227065965769305,16513.0
4137,2005,52601.0,59413.0,2321.0,5224.0,20207.0,0.0,0.0,0.0,0.0,0.3401107501725212,20207.0
4138,2006,54077.0,62697.0,989.0,5262.0,18356.0,0.0,0.0,0.0,0.0,0.29277317893998117,18356.0
4139,2007,54075.0,61673.0,1269.0,3359.0,15966.0,3.0,0.0,0.0,0.0,0.25893016392911,15969.0
4140,2008,55852.0,64956.0,921.0,5169.0,17195.0,5.0,0.0,0.0,0.0,0.2647946302112199,17200.0
4141,2009,50109.0,58014.0,651.0,2946.0,15807.0,9.0,0.0,0.0,0.0,0.2726238494156583,15816.0
4142,2010,53181.0,60979.0,767.0,3041.0,20243.0,306.0,0.0,0.0,0.0,0.33698486364158153,20549.0
4143,2011,54301.0,62217.0,3410.0,5316.0,14946.0,1388.0,1.0,0.0,0.0,0.2625488210617677,16335.0
4144,2012,53595.0,59045.0,3903.0,3650.0,12337.0,2640.0,8.0,0.0,0.0,0.2537894825980185,14985.0
4145,2013,51662.0,58887.0,2737.0,4753.0,15308.0,4520.0,420.0,0.0,0.0,0.34384499125443646,20248.0
4146,2014,52957.0,65676.0,2811.0,9937.0,19280.0,6201.0,1616.0,0.0,0.0,0.41258602838175285,27097.0
