,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4147,1992,922416.0,1008450.0,27710.0,43952.0,171843.0,0.0,0.0,29.0,0.0,0.17043185086023105,171872.0
4148,1993,869283.0,956587.0,24681.0,43413.0,174284.0,0.0,0.0,28.0,0.0,0.18222284015986,174312.0
4149,1994,792254.0,875914.0,23651.0,44147.0,176011.0,0.0,0.0,31.0,0.0,0.20098091821799857,176042.0
4150,1995,780463.0,860027.0,18377.0,37982.0,176412.0,0.0,0.0,30.0,0.0,0.2051586752508933,176442.0
4151,1996,765462.0,847183.0,12356.0,31846.0,154345.0,0.0,0.0,28.0,0.0,0.18221918995069541,154373.0
4152,1997,752315.0,834132.0,7151.0,26840.0,157542.0,0.0,0.0,29.0,0.0,0.1889041542585586,157571.0
4153,1998,742949.0,827158.0,8261.0,26275.0,159466.0,0.0,0.0,30.0,0.0,0.1928241037383426,159496.0
4154,1999,765341.0,846226.0,8364.0,22521.0,161371.0,2.0,0.0,28.0,0.0,0.1907303722646196,161401.0
4155,2000,794510.0,877766.0,8795.0,22850.0,165375.0,2.0,0.0,58.0,0.0,0.1884727820398603,165435.0
4156,2001,805579.0,891284.0,9798.0,25659.0,175850.0,3.0,0.0,91.0,0.0,0.1974050919796608,175944.0
4157,2002,806887.0,891285.0,5154.0,18097.0,164190.0,6.0,0.0,156.0,0.0,0.18439892963530183,164352.0
4158,2003,831726.0,916286.0,8240.0,21619.0,157720.0,9.0,0.0,324.0,0.0,0.17249308621980472,158053.0
4159,2004,851644.0,931865.0,12179.0,19800.0,177783.0,7.0,0.0,403.0,0.0,0.19122190446041004,178193.0
4160,2005,872447.0,953086.0,10139.0,22520.0,174604.0,7.0,0.0,410.0,0.0,0.1836361041920666,175021.0
4161,2006,905402.0,995794.0,5115.0,20927.0,175282.0,5.0,0.0,463.0,0.0,0.17649232672621043,175750.0
4162,2007,925553.0,1015333.0,5670.0,18468.0,178982.0,7.0,0.0,485.0,0.0,0.17676368245688853,179474.0
4163,2008,952620.0,1040379.0,3105.0,20738.0,166711.0,5.0,0.0,465.0,0.0,0.1606924015190618,167181.0
4164,2009,914959.0,991980.0,3066.0,17923.0,176118.0,4.0,0.0,464.0,0.0,0.1780136696304361,176586.0
4165,2010,949353.0,1038030.0,1644.0,19091.0,168397.0,4.0,0.0,505.0,0.0,0.1627178405248403,168906.0
4166,2011,961241.0,1054765.0,1558.0,24111.0,167608.0,5.0,0.0,522.0,0.0,0.1594051755604329,168135.0
4167,2012,982820.0,1070734.0,2661.0,19143.0,167319.0,5.0,0.0,477.0,0.0,0.15671586033505988,167801.0
4168,2013,978734.0,1059092.0,4706.0,18382.0,182654.0,5.0,0.0,444.0,0.0,0.1728867747089016,183103.0
4169,2014,983691.0,1064207.0,6623.0,14671.0,177141.0,96.0,160.0,455.0,0.0,0.1671216220152658,177852.0
