,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4170,1990,165.0,171.0,20.0,3.0,167.0,0.0,0.0,0.0,0.0,0.9766081871345029,167.0
4171,1991,168.0,169.0,25.0,3.0,165.0,0.0,0.0,0.0,0.0,0.9763313609467456,165.0
4172,1992,179.0,176.0,30.0,3.0,172.0,0.0,0.0,0.0,0.0,0.9772727272727273,172.0
4173,1993,169.0,159.0,35.0,3.0,155.0,0.0,0.0,0.0,0.0,0.9748427672955975,155.0
4174,1994,177.0,162.0,40.0,3.0,158.0,0.0,0.0,0.0,0.0,0.9753086419753086,158.0
4175,1995,184.0,164.0,45.0,3.0,160.0,0.0,0.0,0.0,0.0,0.975609756097561,160.0
4176,1996,181.0,154.0,50.0,3.0,150.0,0.0,0.0,0.0,0.0,0.974025974025974,150.0
4177,1997,177.0,144.0,55.0,3.0,140.0,0.0,0.0,0.0,0.0,0.9722222222222222,140.0
4178,1998,170.2,130.0,59.0,0.8,126.0,0.0,0.0,0.0,0.0,0.9692307692307692,126.0
4179,1999,183.2,132.0,70.0,0.8,128.0,0.0,0.0,0.0,0.0,0.9696969696969697,128.0
4180,2000,190.5,113.0,94.0,1.0,109.0,0.0,0.0,0.0,0.0,0.9646017699115044,109.0
4181,2001,199.104,91.00399999999999,122.0,1.4,89.0,0.0,0.0,0.0,0.0,0.9779789899345085,89.0
4182,2002,213.9,100.0,136.0,8.1,98.0,0.0,0.0,0.0,0.0,0.98,98.0
4183,2003,223.1,119.6,121.0,3.3,117.6,0.0,0.0,0.0,0.0,0.9832775919732442,117.6
4184,2004,247.5,143.7,116.0,2.2,84.3,0.0,0.0,0.0,0.0,0.5866388308977035,84.3
4185,2005,193.0,117.8,89.0,1.8,65.7,0.0,0.0,0.0,0.0,0.5577249575551783,65.7
4186,2006,214.7,170.7,64.0,2.0,38.4,0.0,0.0,0.0,0.0,0.2249560632688928,38.4
4187,2007,227.82,165.42,80.5,2.1,42.4,0.0,0.12,0.0,0.0,0.2570426792407206,42.519999999999996
4188,2008,261.1,194.5,84.7,2.1,72.1,0.0,0.3,0.0,0.0,0.37223650385604107,72.39999999999999
4189,2009,290.3,248.4,62.4,2.9,98.9,0.0,0.4,0.0,0.0,0.39975845410628025,99.30000000000001
4190,2010,337.5,281.1,79.8,2.8,112.0,0.0,0.3,0.0,0.0,0.399501956599075,112.3
4191,2011,394.6,345.5,77.6,4.9,149.3,0.0,0.3,0.0,0.0,0.43299565846599136,149.60000000000002
4192,2012,457.0,393.0,90.8,2.9,181.5,0.0,0.3,0.0,0.0,0.46259541984732827,181.8
4193,2013,482.9,413.1,94.4,0.3,148.1,0.0,0.1,0.0,0.0,0.35875090777051555,148.2
4194,2014,523.9,476.1,89.5,3.8,185.8,0.0,0.3,0.0,0.0,0.39088426801092213,186.10000000000002
