,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4220,1990,48.0,50.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.4,20.0
4221,1991,48.0,50.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.4,20.0
4222,1992,58.0,60.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.4166666666666667,25.0
4223,1993,57.0,60.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.4166666666666667,25.0
4224,1994,59.0,64.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.390625,25.0
4225,1995,60.0,65.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.38461538461538464,25.0
4226,1996,69.0,74.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.33783783783783783,25.0
4227,1997,77.0,82.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.36585365853658536,30.0
4228,1998,78.0,83.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.3614457831325301,30.0
4229,1999,80.0,85.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.35294117647058826,30.0
4230,2000,92.83,93.2,0.0,0.0,46.2,0.0,0.0,0.0,0.0,0.4957081545064378,46.2
4231,2001,109.55,109.9,0.0,0.0,48.9,0.0,0.0,0.0,0.0,0.4449499545040946,48.9
4232,2002,126.56,127.1,0.0,0.0,63.6,0.0,0.0,0.0,0.0,0.5003933910306846,63.6
4233,2003,114.58,115.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.4782608695652174,55.0
4234,2004,105.3,105.6,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.4734848484848485,50.0
4235,2005,110.27,110.5,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.46153846153846156,51.0
4236,2006,115.5,116.0,0.0,0.0,52.5,0.0,0.0,0.0,0.0,0.4525862068965517,52.5
4237,2007,130.0,131.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.45038167938931295,59.0
4238,2008,119.0,120.5,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.4066390041493776,49.0
4239,2009,112.0,112.8,0.0,0.0,38.7,0.0,0.0,0.0,0.0,0.34308510638297873,38.7
4240,2010,115.7,116.2,0.0,0.0,47.7,0.0,0.0,0.0,0.0,0.4104991394148021,47.7
4241,2011,113.5,114.0,0.0,0.0,35.2,0.0,0.0,0.0,0.0,0.3087719298245614,35.2
4242,2012,116.7,117.2,0.0,0.0,36.8,0.0,0.0,0.0,0.0,0.3139931740614334,36.8
4243,2013,117.0,120.6,0.0,0.0,35.6,0.0,0.0,0.0,0.0,0.2951907131011609,35.6
4244,2014,117.0,120.6,0.0,0.0,35.6,0.0,0.0,0.0,0.0,0.2951907131011609,35.6
