,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4245,1990,15.0,15.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.5333333333333333,8.0
4246,1991,15.0,15.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.5333333333333333,8.0
4247,1992,15.0,15.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.4666666666666667,7.0
4248,1993,16.0,16.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.4375,7.0
4249,1994,17.0,17.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.35294117647058826,6.0
4250,1995,18.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.3333333333333333,6.0
4251,1996,19.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.3157894736842105,6.0
4252,1997,20.0,20.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.3,6.0
4253,1998,22.0,22.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.2727272727272727,6.0
4254,1999,28.0,28.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.2857142857142857,8.0
4255,2000,26.1,26.1,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.26053639846743293,6.8
4256,2001,26.4,26.4,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.18181818181818182,4.8
4257,2002,31.5,31.5,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.19365079365079363,6.1
4258,2003,34.5,34.5,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.2289855072463768,7.9
4259,2004,37.3,37.3,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.16621983914209118,6.2
4260,2005,41.4,41.4,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.10144927536231885,4.2
4261,2006,43.0,43.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.18604651162790697,8.0
4262,2007,45.0,45.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.2222222222222222,10.0
4263,2008,47.5,47.5,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.16842105263157894,8.0
4264,2009,52.0,52.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.1346153846153846,7.0
4265,2010,57.2,57.2,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0839160839160839,4.8
4266,2011,60.0,60.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.1,6.0
4267,2012,67.0,67.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.1044776119402985,7.0
4268,2013,67.0,67.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.1044776119402985,7.0
4269,2014,67.0,67.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.1044776119402985,7.0
