,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4270,1990,70115.0,70115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4271,1991,74574.0,74574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4272,1992,79628.0,79628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4273,1993,87906.0,87906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4274,1994,96880.0,96880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4275,1995,99833.0,99833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4276,1996,103353.0,103353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4277,1997,104819.0,107289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4278,1998,104888.0,107521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4279,1999,112686.0,115420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4280,2000,123292.0,126191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4281,2001,130519.0,133674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4282,2002,138456.0,141736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4283,2003,149197.0,153000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4284,2004,157312.0,159875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4285,2005,171863.0,176124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4286,2006,176950.0,181434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4287,2007,185471.0,190535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4288,2008,198809.0,204200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4289,2009,211437.0,217082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4290,2010,234371.0,240067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4291,2011,243949.0,250077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4292,2012,264854.0,271680.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.680800942285041e-06,1.0
4293,2013,277455.0,284017.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.520916001506952e-06,1.0
4294,2014,304240.0,311806.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.207122377375676e-06,1.0
