,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4295,1990,838.0,883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4296,1991,866.0,911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4297,1992,953.0,998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4298,1993,906.0,951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4299,1994,924.0,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4300,1995,889.0,935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4301,1996,970.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4302,1997,1114.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4303,1998,1175.0,1242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4304,1999,1527.0,1596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4305,2000,1575.0,1671.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0011968880909634949,2.0
4306,2001,1827.0,1906.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.001049317943336831,2.0
4307,2002,1974.0,1854.0,194.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0010787486515641855,2.0
4308,2003,2083.0,1820.0,337.0,0.0,0.0,0.0,2.0,0.0,0.0,0.001098901098901099,2.0
4309,2004,2268.0,2061.0,293.0,0.0,0.0,0.0,3.0,0.0,0.0,0.001455604075691412,3.0
4310,2005,2110.0,1908.0,267.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0020964360587002098,4.0
4311,2006,2131.0,1962.0,234.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0020387359836901123,4.0
4312,2007,2237.0,2124.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4313,2008,2567.0,2402.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4314,2009,2666.0,2489.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4315,2010,2813.0,2618.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4316,2011,2783.0,2560.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4317,2012,3166.0,2917.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4318,2013,3672.0,3403.0,308.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0011754334410813989,4.0
4319,2014,3688.0,3406.0,318.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0011743981209630064,4.0
