,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4330,1992,33090.0,35826.0,0.0,400.0,11343.0,0.0,0.0,0.0,0.0,0.3166136325573606,11343.0
4331,1993,31063.0,33457.0,0.0,0.0,10115.0,0.0,0.0,0.0,0.0,0.30232836177780437,10115.0
4332,1994,32128.0,34528.0,0.0,0.0,11127.0,0.0,0.0,0.0,0.0,0.32226019462465244,11127.0
4333,1995,34776.0,37176.0,0.0,0.0,11220.0,0.0,0.0,0.0,0.0,0.30180761781794707,11220.0
4334,1996,35634.0,38093.0,19.0,18.0,11501.0,0.0,0.0,0.0,0.0,0.3019189877405298,11501.0
4335,1997,37701.0,40312.0,0.0,9.0,11171.0,0.0,0.0,0.0,0.0,0.2771135145862274,11171.0
4336,1998,34017.0,37808.0,2518.0,2071.0,12892.0,0.0,0.0,0.0,0.0,0.34098603470165045,12892.0
4337,1999,31520.0,33410.0,3290.0,1420.0,13720.0,0.0,0.0,0.0,0.0,0.4106554923675546,13720.0
4338,2000,33419.0,34140.0,4870.0,1860.0,12000.0,0.0,0.0,0.0,0.0,0.351493848857645,12000.0
4339,2001,35274.0,35130.0,5670.0,1630.0,12450.0,0.0,0.0,0.0,0.0,0.35439795046968403,12450.0
4340,2002,35607.0,35060.0,6780.0,2300.0,11750.0,0.0,0.0,0.0,0.0,0.33513976041072446,11750.0
4341,2003,34361.0,35366.0,4576.0,1786.0,9851.0,0.0,0.0,0.0,0.0,0.2785443646440084,9851.0
4342,2004,34983.0,37686.0,5975.0,6248.0,11121.0,0.0,0.0,0.0,0.0,0.29509632224168125,11121.0
