,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4320,2005,31704.0,36474.0,6751.0,8694.0,12032.0,0.0,0.0,0.0,0.0,0.32987881778801337,12032.0
4321,2006,32293.0,36481.0,8567.0,9377.0,10965.0,0.0,0.0,0.0,0.0,0.30056741865628683,10965.0
4322,2007,33132.0,36550.0,9106.0,9192.0,10037.0,0.0,0.0,0.0,0.0,0.27461012311901506,10037.0
4323,2008,33964.0,37376.0,8875.0,8802.0,10109.0,0.0,0.0,0.0,0.0,0.2704676797945205,10109.0
4324,2009,33441.0,38322.0,5184.0,6609.0,11144.0,0.0,0.0,0.0,0.0,0.2907990188403528,11144.0
4325,2010,34355.0,38103.0,5620.0,5917.0,12571.0,0.0,0.0,0.0,0.0,0.3299215284885705,12571.0
4326,2011,34655.0,38600.0,6701.0,6979.0,9243.0,0.0,0.0,0.0,0.0,0.2394559585492228,9243.0
4327,2012,33717.0,36799.0,5781.0,5392.0,9914.0,0.0,0.0,0.0,0.0,0.2694094948232289,9914.0
4328,2013,33626.0,39877.0,4077.0,6614.0,10853.0,0.0,0.0,0.0,0.0,0.2721618978358452,10853.0
4329,2014,32564.0,34060.0,7008.0,5445.0,11617.0,0.0,6.0,0.0,0.0,0.3412507339988256,11623.0
