,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4343,1990,97.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4344,1991,102.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4345,1992,106.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4346,1993,113.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4347,1994,122.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4348,1995,125.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4349,1996,131.53,135.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4350,1997,145.0,148.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4351,1998,155.0,159.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4352,1999,170.668,174.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4353,2000,183.5,187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4354,2001,187.9,191.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4355,2002,210.8,218.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4356,2003,217.8,223.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4357,2004,220.0,225.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4358,2005,224.0,230.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4359,2006,243.0,252.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4360,2007,260.6,270.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4361,2008,262.12,269.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4362,2009,265.6,275.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4363,2010,290.44,301.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4364,2011,314.04,323.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4365,2012,327.26,336.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4366,2013,344.32,354.22,0.0,0.0,0.0,6.95,0.0,0.0,0.0,0.01962057478403252,6.95
4367,2014,352.4,362.8,0.0,0.0,0.0,7.09,0.71,0.0,0.0,0.02149944873208379,7.8
