,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4368,1990,219.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4369,1991,225.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4370,1992,225.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4371,1993,228.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4372,1994,232.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4373,1995,92.2,96.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4374,1996,140.2,144.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4375,1997,92.4,96.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4376,1998,106.3,110.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4377,1999,68.9,72.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4378,2000,90.7,94.7,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.16578669482576555,15.7
4379,2001,134.7,138.7,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.10958904109589042,15.2
4380,2002,152.8,156.8,0.0,0.0,16.1,0.0,0.0,0.0,0.0,0.10267857142857142,16.1
4381,2003,139.6,143.6,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.11142061281337048,16.0
4382,2004,115.8,119.8,0.0,0.0,16.9,0.0,0.0,0.0,0.0,0.14106844741235391,16.9
4383,2005,80.6,83.6,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.22488038277511965,18.8
4384,2006,39.2,41.2,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.10194174757281553,4.2
4385,2007,58.0,60.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.3,18.0
4386,2008,137.776,138.776,0.0,0.0,95.77600000000001,0.0,0.0,0.0,0.0,0.6901481524182856,95.77600000000001
4387,2009,131.47,131.977,0.0,0.0,87.977,0.0,0.0,0.0,0.0,0.6666085757366814,87.977
4388,2010,167.39,170.63,0.0,0.0,149.1,0.0,0.0,0.0,0.0,0.8738205473832269,149.1
4389,2011,174.75,175.64,0.0,0.0,153.47,0.0,0.0,0.0,0.0,0.8737759052607607,153.47
4390,2012,178.21,178.67,0.0,0.0,118.1,0.0,0.0,0.0,0.0,0.6609951306878603,118.1
4391,2013,164.39,164.39,0.0,0.0,105.39,0.0,0.0,0.0,0.0,0.6410973903522112,105.39
4392,2014,178.21,180.7,0.0,0.0,118.1,0.0,0.0,0.0,0.0,0.6535694521306032,118.1
