,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4393,1990,14798.0,15618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4394,1991,15682.0,16597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4395,1992,16573.0,17543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4396,1993,17880.0,18962.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4397,1994,19510.0,20676.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398,1995,20905.0,22057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4399,1996,22192.0,23458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4400,1997,24763.0,26188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4401,1998,27747.0,29022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4402,1999,28928.0,30259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4403,2000,30284.0,31665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4404,2001,31584.0,33089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4405,2002,33364.0,34664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4406,2003,33931.0,35331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4407,2004,35338.0,36810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4408,2005,36684.0,38213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4409,2006,38346.0,39442.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4410,2007,40031.0,41134.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4411,2008,40414.0,41664.6944446667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4412,2009,40476.0,41814.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4413,2010,43956.0,45360.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4414,2011,44642.0,46000.138889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4415,2012,45661.0,46971.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4416,2013,45957.194444,47964.4444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4417,2014,47310.0,49310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
