,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4421,1992,23504.0,23627.0,5995.0,2527.0,2332.0,0.0,0.0,0.0,0.0,0.0987006390993355,2332.0
4422,1993,22654.0,24442.0,4297.0,2880.0,3865.0,0.0,0.0,0.0,0.0,0.15812944930856723,3865.0
4423,1994,22801.0,25712.0,2807.0,2379.0,4609.0,0.0,0.0,0.0,0.0,0.1792548226509023,4609.0
4424,1995,24363.0,26774.0,3448.0,2065.0,5226.0,0.0,0.0,0.0,0.0,0.19518936281467095,5226.0
4425,1996,25965.0,25760.0,5875.0,2353.0,4533.0,0.0,0.0,0.0,0.0,0.17597049689440994,4533.0
4426,1997,25865.0,25347.0,6798.0,2743.0,4358.0,0.0,0.0,0.0,0.0,0.17193356215725727,4358.0
4427,1998,23985.0,26032.0,4381.0,3091.0,4567.0,0.0,0.0,0.0,0.0,0.17543792255685312,4567.0
4428,1999,25632.0,28407.0,3738.0,3180.0,4776.0,0.0,0.0,0.0,0.0,0.16812757418946034,4776.0
4429,2000,24648.0,31158.0,5951.0,8647.0,4975.0,0.0,0.0,0.0,0.0,0.1596700686822004,4975.0
4430,2001,25671.0,32046.0,6065.0,9743.0,5117.0,0.0,0.0,0.0,0.0,0.1596767147225863,5117.0
4431,2002,25543.0,32427.0,6710.0,10867.0,5483.0,0.0,0.0,0.0,0.0,0.16908748882104419,5483.0
4432,2003,26196.0,31178.0,8623.0,10878.0,3672.0,2.0,0.0,0.0,0.0,0.11783950221309898,3674.0
4433,2004,26121.0,30567.0,8731.0,10593.0,4207.0,6.0,0.0,0.0,0.0,0.1378283770078843,4213.0
4434,2005,25868.0,31455.0,8005.0,11270.0,4741.0,6.0,0.0,0.0,0.0,0.15091400413288825,4747.0
4435,2006,26329.0,31418.0,8590.0,10921.0,4566.0,6.0,0.0,0.0,0.0,0.14552167547265898,4572.0
4436,2007,27257.0,28056.0,13580.0,11855.0,4615.0,8.0,0.0,0.0,0.0,0.1647775876817793,4623.0
4437,2008,26881.0,28962.0,9412.0,8891.0,4241.0,7.0,0.0,0.0,0.0,0.14667495338719702,4248.0
4438,2009,25084.0,26155.0,8994.0,7682.0,4604.0,6.0,0.0,0.0,0.0,0.17625692984133054,4610.0
4439,2010,25933.0,27858.0,7334.0,6293.0,5649.0,6.0,17.0,0.0,0.0,0.20360399167205112,5672.0
4440,2011,26308.0,28656.0,11227.0,10500.0,4146.0,5.0,397.0,0.0,0.0,0.1587102177554439,4548.0
4441,2012,26154.0,28664.0,13472.0,13079.0,4439.0,6.0,424.0,0.0,0.0,0.16986463857102987,4869.0
4442,2013,26799.0,28832.0,10719.0,10628.0,5166.0,6.0,588.0,0.0,0.0,0.1997780244173141,5760.0
4443,2014,25750.0,27401.0,12964.0,11862.0,4462.0,6.0,597.0,0.0,0.0,0.18484726834787052,5065.0
