,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4444,1992,9271.0,12344.0,329.0,2142.0,3423.0,0.0,0.0,0.0,0.0,0.27730071289695396,3423.0
4445,1993,9304.0,11946.0,706.0,2124.0,3035.0,0.0,0.0,0.0,0.0,0.2540599363803784,3035.0
4446,1994,9890.0,12895.0,448.0,2382.0,3399.0,0.0,0.0,0.0,0.0,0.26359053896859247,3399.0
4447,1995,10175.0,12913.0,740.0,2392.0,3252.0,0.0,0.0,0.0,0.0,0.2518392317819252,3252.0
4448,1996,10361.0,13057.0,855.0,2516.0,3673.0,0.0,0.0,0.0,0.0,0.28130504710117177,3673.0
4449,1997,10661.0,13176.0,824.0,2520.0,3092.0,0.0,0.0,0.0,0.0,0.23466909532483304,3092.0
4450,1998,10972.0,13728.0,711.0,2630.0,3449.0,0.0,0.0,0.0,0.0,0.25123834498834496,3449.0
4451,1999,11119.0,13262.0,596.0,1934.0,3741.0,0.0,0.0,0.0,0.0,0.2820841502035892,3741.0
4452,2000,11474.0,13624.0,4232.0,5553.0,3834.0,0.0,0.0,0.0,0.0,0.28141514973576043,3834.0
4453,2001,11819.0,14466.0,3154.0,4926.0,3796.0,0.0,0.0,0.0,0.0,0.2624084059173234,3796.0
4454,2002,12559.0,14598.0,3794.0,4928.0,3312.0,0.0,0.0,0.0,0.0,0.22688039457459927,3312.0
4455,2003,13059.0,13820.0,5975.0,5811.0,2957.0,0.0,0.0,0.0,0.0,0.21396526772793054,2957.0
4456,2004,13552.0,15271.0,7433.0,8189.0,4094.0,0.0,0.0,0.0,0.0,0.2680898434942047,4094.0
4457,2005,13824.0,15117.0,9342.0,9667.0,3461.0,0.0,0.0,0.0,0.0,0.22894754250181915,3461.0
4458,2006,14161.0,15115.0,7706.0,7662.0,3591.0,0.0,0.0,0.0,0.0,0.23757856434005956,3591.0
4459,2007,14273.0,15043.0,6106.0,5877.0,3266.0,0.0,0.0,0.0,0.0,0.2171109486139733,3266.0
4460,2008,13758.0,16399.0,6225.0,7824.0,4018.0,0.0,1.0,0.0,0.0,0.24507591926336972,4019.0
4461,2009,12316.0,16403.0,7780.0,10839.0,4715.0,0.0,4.0,0.0,0.0,0.2876912759861001,4719.0
4462,2010,13045.0,16440.0,8625.0,10745.0,4703.0,0.0,13.0,0.0,0.0,0.28686131386861313,4716.0
4463,2011,13436.0,16059.0,7036.0,8408.0,3706.0,0.0,65.0,0.0,0.0,0.23482159536708389,3771.0
4464,2012,13415.0,15736.0,7452.0,8491.0,4087.0,0.0,163.0,0.0,0.0,0.2700813421453991,4250.0
4465,2013,13435.0,16103.0,7521.0,8811.0,4923.0,4.0,215.0,0.0,0.0,0.31931938148171146,5142.0
4466,2014,13380.0,17437.0,7254.0,9997.0,6366.0,4.0,257.0,0.0,0.0,0.38005390835579517,6627.0
