,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4467,1990,55.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4468,1991,56.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4469,1992,57.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4470,1993,58.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4471,1994,60.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4472,1995,61.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4473,1996,62.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4474,1997,63.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4475,1998,64.8,66.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4476,1999,69.3,71.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4477,2000,66.2,68.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4478,2001,60.9,62.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4479,2002,62.1,64.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4480,2003,61.3,63.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4481,2004,61.4,63.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4482,2005,72.1,74.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4483,2006,73.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4484,2007,83.4,85.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4485,2008,84.3,86.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4486,2009,81.7,83.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4487,2010,85.4,87.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4488,2011,80.7,82.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4489,2012,81.3,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4490,2013,87.1,89.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4491,2014,89.9,91.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
