,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4492,1990,248.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4493,1991,258.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4494,1992,257.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4495,1993,259.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4496,1994,262.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4497,1995,263.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4498,1996,265.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4499,1997,266.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4500,1998,266.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4501,1999,268.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4502,2000,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4503,2001,261.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4504,2002,274.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4505,2003,280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4506,2004,280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4507,2005,290.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4508,2006,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4509,2007,311.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4510,2008,324.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4511,2009,327.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4512,2010,327.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4513,2011,334.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4514,2012,340.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4515,2013,350.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4516,2014,350.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
