,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4517,1990,150706.0,165385.0,267.0,1533.0,620.0,0.0,0.0,0.0,0.0,0.0037488284910965324,620.0
4518,1991,153059.0,168316.0,254.0,1795.0,620.0,0.0,0.0,0.0,0.0,0.0036835476128234987,620.0
4519,1992,153882.0,167956.0,334.0,1872.0,772.0,0.0,0.0,0.0,0.0,0.004596441925266141,772.0
4520,1993,159736.0,174581.0,101.0,1565.0,1491.0,0.0,0.0,0.0,0.0,0.008540448273294345,1491.0
4521,1994,167490.0,182452.0,58.0,1583.0,2591.0,0.0,0.0,0.0,0.0,0.01420099533027865,2591.0
4522,1995,169744.0,187825.0,149.0,3000.0,1803.0,0.0,0.0,0.0,0.0,0.009599361107413816,1803.0
4523,1996,179112.0,200266.0,29.0,5579.0,3539.0,0.0,0.0,0.0,0.0,0.017671496909110882,3539.0
4524,1997,187176.0,210052.0,5.0,6617.0,4700.0,0.0,0.0,0.0,0.0,0.02237541180279169,4700.0
4525,1998,187986.0,205375.0,2375.0,4093.0,4016.0,0.0,0.0,0.0,0.0,0.019554473524041386,4016.0
4526,1999,190120.0,203012.0,6673.0,4266.0,3316.0,0.0,0.0,0.0,0.0,0.016334009812227848,3316.0
4527,2000,195663.0,210670.0,4719.0,4007.0,3934.0,0.0,0.0,0.0,0.0,0.018673755162101867,3934.0
4528,2001,197537.0,210100.0,9200.0,6996.0,3912.0,0.0,0.0,0.0,0.0,0.018619704902427415,3912.0
4529,2002,204677.0,217712.0,9496.0,7242.0,4394.0,32.0,21.0,0.0,0.0,0.020426067465275227,4447.0
4530,2003,214787.0,234229.0,8194.0,10263.0,3682.0,32.0,21.0,0.0,0.0,0.015945933253354624,3735.0
4531,2004,222931.0,244607.0,9818.0,13254.0,4625.0,32.0,21.0,0.0,0.0,0.01912455489826538,4678.0
4532,2005,224601.0,244922.0,11079.0,13422.0,4199.0,32.0,21.0,0.0,0.0,0.017360629098243523,4252.0
4533,2006,232342.0,253798.0,10624.0,13589.0,5845.0,32.0,21.0,0.0,0.0,0.023238953813662835,5898.0
4534,2007,241168.0,263479.0,11348.0,14496.0,3847.0,32.0,21.0,0.0,0.0,0.01480193867442946,3900.0
4535,2008,235928.0,258291.0,10572.0,14168.0,3975.0,85.0,21.0,0.0,0.0,0.01580000851752481,4081.0
4536,2009,229595.0,249557.0,12295.0,14052.0,4142.0,85.0,21.0,0.0,0.0,0.017022163273320325,4248.0
4537,2010,238275.0,259608.0,12193.0,14668.0,5067.0,34.0,7.0,0.0,0.0,0.019675818926997626,5108.0
4538,2011,240527.0,262538.0,11890.0,14964.0,5019.0,37.0,1.0,0.0,0.0,0.01926197350478788,5057.0
4539,2012,234174.0,257919.0,10006.0,15035.0,4211.0,37.0,39.0,0.0,0.0,0.016621497446872857,4287.0
4540,2013,233102.0,256073.0,9428.0,13929.0,4040.0,37.0,243.0,0.0,0.0,0.016870189360065294,4320.0
4541,2014,231445.0,252578.0,11177.0,13836.0,4082.0,1070.0,1120.0,0.0,0.0,0.02483193310581286,6272.0
