,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4545,1990,143197.0,151920.0,3208.0,3628.0,26184.0,14.0,6.0,0.0,0.0,0.1724855186940495,26204.0
4546,1991,146614.0,155797.0,3083.0,3762.0,28293.0,15.0,7.0,0.0,0.0,0.18174290904189425,28315.0
4547,1992,149096.0,158718.0,4351.0,3710.0,20934.0,103.0,8.0,0.0,0.0,0.13259365667410122,21045.0
4548,1993,148949.0,156798.0,4606.0,3339.0,25779.0,116.0,9.0,0.0,0.0,0.16520618885444968,25904.0
4549,1994,155153.0,161848.0,5106.0,3251.0,29182.0,175.0,10.0,0.0,0.0,0.1814480253076961,29367.0
4550,1995,161496.0,167085.0,7633.0,3147.0,24569.0,270.0,15.0,0.0,0.0,0.14875063590388127,24854.0
4551,1996,167113.0,174453.0,6750.0,5690.0,40874.0,364.0,12.0,0.0,0.0,0.23645337139516087,41250.0
4552,1997,177538.0,190396.0,4597.0,7670.0,36002.0,742.0,13.0,0.0,0.0,0.19305552637660456,36757.0
4553,1998,188121.0,195209.0,8964.0,5562.0,35806.0,1352.0,15.0,0.0,0.0,0.1904266709014441,37173.0
4554,1999,201130.0,208451.0,11959.0,6240.0,25437.0,2744.0,17.0,0.0,0.0,0.13527399724635525,28198.0
4555,2000,213975.0,224472.0,12268.0,7827.0,31807.0,4727.0,18.0,0.0,0.0,0.16283545386507003,36552.0
4556,2001,225278.0,236043.0,10177.0,6727.0,43864.0,6759.0,24.0,0.0,0.0,0.21456683739827065,50647.0
4557,2002,231113.0,244963.0,12504.0,7175.0,26270.0,9342.0,30.0,0.0,0.0,0.1454995244179733,35642.0
4558,2003,246793.0,260727.0,9520.0,8257.0,43897.0,12075.0,41.0,0.0,0.0,0.21483390673002797,56013.0
4559,2004,261108.0,280007.0,8111.0,11139.0,34439.0,15700.0,56.0,0.0,0.0,0.1792633755584682,50195.0
4560,2005,274429.0,294077.0,10212.0,11555.0,23025.0,21176.0,41.0,0.0,0.0,0.15044359130431825,44242.0
4561,2006,279166.0,299454.0,9093.0,12373.0,29831.0,23297.0,119.0,0.0,0.0,0.1778136207898375,53247.0
4562,2007,283123.0,305052.0,8773.0,14524.0,30522.0,27568.0,508.0,0.0,0.0,0.1920918400797241,58598.0
4563,2008,286773.0,313758.0,5881.0,16920.0,26144.0,32946.0,2578.0,0.0,0.0,0.19654638288107396,61668.0
4564,2009,271607.0,294620.0,6751.0,14855.0,29162.0,38117.0,6064.0,0.0,0.0,0.24894100875704298,73343.0
4565,2010,278160.0,301527.0,5206.0,13539.0,45511.0,44271.0,7186.0,0.0,0.0,0.3215897747133756,96968.0
4566,2011,273972.0,293848.0,7932.0,14023.0,32911.0,42918.0,9400.0,0.0,0.0,0.2900445128093436,85229.0
4567,2012,270350.0,297559.0,7787.0,18986.0,24162.0,49472.0,11968.0,0.0,0.0,0.28768076247063606,85602.0
4568,2013,262739.0,285632.0,9887.0,16638.0,41052.0,55646.0,13097.0,0.0,0.0,0.38439320524311,109795.0
4569,2014,259772.0,278750.0,12310.0,15716.0,42970.0,52013.0,13673.0,0.0,0.0,0.3897973094170404,108656.0
