,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4570,1990,3134.0,3150.0,0.0,0.0,3145.0,0.0,0.0,0.0,0.0,0.9984126984126984,3145.0
4571,1991,3354.0,3377.0,0.0,0.0,3116.0,0.0,0.0,0.0,0.0,0.922712466686408,3116.0
4572,1992,3521.0,3551.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.8166713601802309,2900.0
4573,1993,3953.0,3979.0,0.0,0.0,3796.0,0.0,0.0,0.0,0.0,0.9540085448605177,3796.0
4574,1994,4360.0,4386.0,0.0,0.0,4089.0,0.0,0.0,0.0,0.0,0.9322845417236663,4089.0
4575,1995,4774.0,4800.0,0.0,0.0,4514.0,0.0,0.0,0.0,0.0,0.9404166666666667,4514.0
4576,1996,4490.0,4529.0,0.0,0.0,3252.0,0.0,0.0,0.0,0.0,0.7180393022742327,3252.0
4577,1997,5106.0,5145.0,0.0,0.0,3447.0,0.0,0.0,0.0,0.0,0.6699708454810496,3447.0
4578,1998,5632.0,5683.0,0.0,0.0,3915.0,0.0,0.0,0.0,0.0,0.6888967094844273,3915.0
4579,1999,6136.0,6185.0,0.0,0.0,4170.0,3.0,0.0,0.0,0.0,0.6746968472109943,4173.0
4580,2000,6875.9,6969.2,0.0,0.0,3203.8,3.4,0.4,0.0,0.0,0.4602536876542502,3207.6000000000004
4581,2001,6719.2,6800.9,0.0,0.0,3118.1,3.5,0.9,0.0,0.0,0.4591304092105457,3122.5
4582,2002,7025.9,7104.026,0.0,0.0,2700.3,3.6060000000000003,1.52,0.0,0.0,0.38082996880923586,2705.4260000000004
4583,2003,8038.3,8124.4259999999995,0.0,0.0,3318.3,3.406,2.42,0.0,0.0,0.40915210502255794,3324.126
4584,2004,8636.7,8742.826,0.0,0.0,2968.7,2.7060000000000004,3.52,0.0,0.0,0.340270525800239,2974.926
4585,2005,8759.0,8850.716,0.0,0.0,3462.1,2.406,4.61,0.0,0.0,0.39195879745774237,3469.116
4586,2006,9381.8,9499.815999999999,0.0,0.0,4645.3,2.306,5.41,0.0,0.0,0.48980064455985256,4653.016
4587,2007,9753.5,9900.616,0.0,0.0,3956.5,2.306,6.01,0.0,0.0,0.40046154703909337,3964.8160000000003
4588,2008,9835.1,10003.306,0.0,0.0,4139.2,3.2060000000000004,6.4,0.0,0.0,0.41474348580359327,4148.806
4589,2009,9820.0,9986.91,0.0,0.0,3891.1,3.5060000000000002,6.803999999999999,0.0,0.0,0.3906523639444032,3901.41
4590,2010,10666.9,10800.809,0.0,0.0,5644.6,53.206,7.202999999999999,0.0,0.0,0.5282020078310802,5705.009000000001
4591,2011,11326.0,11599.706,0.0,0.0,4583.8,91.60600000000001,8.7,0.0,0.0,0.4038124759368901,4684.106
4592,2012,11600.7,11897.006000000001,0.0,0.0,3302.0,146.806,9.6,0.0,0.0,0.29069549094957164,3458.406
4593,2013,11780.193000000001,12044.315,0.0,0.0,6929.4890000000005,235.576,9.681000000000001,0.0,0.0,0.5956956456220217,7174.746
4594,2014,12423.8,12831.5,0.0,0.0,4562.89,273.45,9.47,0.0,0.0,0.3776495343490629,4845.81
