,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4595,1990,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4596,1991,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4597,1992,5.18,5.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4598,1993,5.38,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4599,1994,5.48,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4600,1995,5.81,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4601,1996,5.87,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4602,1997,5.93,6.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4603,1998,6.23,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4604,1999,6.21,6.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4605,2000,6.58,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4606,2001,6.82,7.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4607,2002,7.05,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4608,2003,7.14,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4609,2004,7.52,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4610,2005,7.6,8.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4611,2006,7.64,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4612,2007,8.03,8.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4613,2008,8.2,8.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.06976744186046512,0.6
4614,2009,8.6,8.91,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0707070707070707,0.63
4615,2010,8.7,9.29,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.11840688912809474,1.1
4616,2011,8.74,9.39,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.12140575079872203,1.14
4617,2012,9.35,9.66,0.0,0.0,0.0,0.87,0.01,0.0,0.0,0.09109730848861283,0.88
4618,2013,9.81,10.67,0.0,0.0,0.0,1.01,0.07,0.0,0.0,0.10121836925960638,1.08
4619,2014,9.81,10.67,0.0,0.0,0.0,1.01,0.07,0.0,0.0,0.10121836925960638,1.08
