,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4620,1990,78.4,82.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4621,1991,80.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4622,1992,80.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4623,1993,82.3,87.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4624,1994,92.6,97.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4625,1995,96.8,101.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4626,1996,101.9,106.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4627,1997,111.1,117.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4628,1998,119.4,125.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4629,1999,125.8,131.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4630,2000,141.4,148.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4631,2001,151.5,159.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4632,2002,168.3,177.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4633,2003,167.3,176.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4634,2004,169.8,178.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4635,2005,181.4,190.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4636,2006,181.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4637,2007,199.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4638,2008,191.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4639,2009,206.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4640,2010,216.3,216.5,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.026327944572748268,5.7
4641,2011,222.3,222.5,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.024719101123595506,5.5
4642,2012,217.6,217.8,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.035812672176308534,7.8
4643,2013,219.0,220.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.04090909090909091,9.0
4644,2014,219.0,220.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.04090909090909091,9.0
