,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4645,1990,100.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4646,1991,101.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4647,1992,146.6,152.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4648,1993,164.1,170.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4649,1994,174.0,180.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4650,1995,188.5,196.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4651,1996,189.8,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4652,1997,204.6,213.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4653,1998,227.1,235.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4654,1999,245.4,256.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4655,2000,264.6,276.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4656,2001,274.0,286.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4657,2002,273.7,285.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4658,2003,287.18,298.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4659,2004,296.44,308.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4660,2005,310.4,323.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4661,2006,317.7,330.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4662,2007,332.5,345.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4663,2008,338.0,352.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4664,2009,348.69,362.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4665,2010,366.789,380.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4666,2011,370.60900000000004,385.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4667,2012,370.272,384.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4668,2013,368.27,382.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4669,2014,365.51300000000003,379.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
