,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4670,1990,41.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4671,1991,43.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4672,1992,43.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4673,1993,39.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4674,1994,40.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4675,1995,38.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4676,1996,38.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4677,1997,39.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4678,1998,39.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4679,1999,39.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4680,2000,42.8,42.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.01869158878504673,0.8
4681,2001,42.8,42.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.01869158878504673,0.8
4682,2002,42.8,42.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.01869158878504673,0.8
4683,2003,42.8,42.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.01869158878504673,0.8
4684,2004,42.6,42.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.018779342723004695,0.8
4685,2005,42.4,42.4,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.01886792452830189,0.8
4686,2006,41.6,41.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.019230769230769232,0.8
4687,2007,45.1,45.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.017738359201773836,0.8
4688,2008,44.45,44.45,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.019122609673790775,0.85
4689,2009,44.91,44.91,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.01803607214428858,0.81
4690,2010,45.35,45.35,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.023153252480705624,1.05
4691,2011,45.23,45.23,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.024983418085341588,1.13
4692,2012,43.47,43.47,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.020013802622498276,0.87
4693,2013,46.5,46.5,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.01870967741935484,0.87
4694,2014,48.3,48.3,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.01801242236024845,0.87
