,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4695,1990,51.0,51.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.47058823529411764,24.0
4696,1991,53.0,53.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.24528301886792453,13.0
4697,1992,57.0,57.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.3508771929824561,20.0
4698,1993,60.0,62.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.3709677419354839,23.0
4699,1994,62.0,64.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.328125,21.0
4700,1995,70.2,72.2,0.0,0.0,21.2,0.0,0.0,0.0,0.0,0.2936288088642659,21.2
4701,1996,73.9,76.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.27631578947368424,21.0
4702,1997,78.0,80.2,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.2768079800498753,22.2
4703,1998,83.0,85.2,0.0,0.0,22.1,0.0,0.0,0.0,0.0,0.25938967136150237,22.1
4704,1999,87.2,89.5,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.19441340782122904,17.4
4705,2000,91.5,93.4,0.0,0.0,24.8,0.0,0.0,0.0,0.0,0.26552462526766596,24.8
4706,2001,96.5,98.8,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.18724696356275305,18.5
4707,2002,99.8,101.8,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.21611001964636542,22.0
4708,2003,105.2,108.2,0.0,0.0,20.7,0.0,0.0,0.0,0.0,0.19131238447319776,20.7
4709,2004,116.9,120.7,0.0,0.0,27.1,0.0,0.0,0.0,0.0,0.22452361226180614,27.1
4710,2005,127.5,131.7,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.193621867881549,25.5
4711,2006,130.4,134.3,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.17274758004467608,23.2
4712,2007,137.5,141.1,0.0,0.0,22.7,0.0,0.0,0.0,0.0,0.16087880935506732,22.7
4713,2008,134.2,139.2,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.1702586206896552,23.7
4714,2009,135.0,140.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.17142857142857143,24.0
4715,2010,136.7,141.7,0.0,0.0,24.3,0.0,0.0,0.0,0.0,0.1714890613973183,24.3
4716,2011,141.0,145.28,0.0,0.0,31.24,0.0,0.0,0.0,0.0,0.21503303964757708,31.24
4717,2012,141.21,145.28,0.0,0.0,31.24,0.0,0.0,0.0,0.0,0.21503303964757708,31.24
4718,2013,134.88888899999998,139.0,0.0,0.0,30.58,0.0,0.0,0.0,0.0,0.22,30.58
4719,2014,164.0,169.84,0.0,0.0,37.36,0.0,0.0,0.0,0.0,0.21997173810645312,37.36
