,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4720,1990,860.0,60.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4721,1991,880.0,60.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4722,1992,910.0,60.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4723,1993,940.0,60.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4724,1994,964.0,64.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4725,1995,1014.0,64.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4726,1996,931.5,43.0,888.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4727,1997,1074.0,43.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4728,1998,1743.0,60.0,1683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4729,1999,1683.0,160.0,1523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4730,2000,2295.4,32.0,2263.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4731,2001,2118.7,35.5,2083.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4732,2002,2456.3,149.3,2307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4733,2003,2658.0,342.4,2315.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4734,2004,2994.2,395.5,2598.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4735,2005,3363.3,500.5,2862.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4736,2006,3441.7,345.3,3096.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4737,2007,3605.4,417.1,3188.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4738,2008,4291.4,426.6,3864.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4739,2009,4483.5,500.6,3982.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4740,2010,4632.1,473.3,4158.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4741,2011,5191.0,569.3,4621.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4742,2012,5370.4,461.1,4909.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4743,2013,5270.1,536.1,4734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4744,2014,5274.9,336.6,4938.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
