,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
4748,1990,1312.0,1327.0,0.0,0.0,937.0,0.0,0.0,0.0,0.0,0.706103993971364,937.0
4749,1991,1315.0,1329.0,0.0,0.0,938.0,0.0,0.0,0.0,0.0,0.7057938299473289,938.0
4750,1992,1311.0,1325.0,0.0,0.0,940.0,0.0,0.0,0.0,0.0,0.7094339622641509,940.0
4751,1993,1313.0,1328.0,0.0,0.0,939.0,0.0,0.0,0.0,0.0,0.7070783132530121,939.0
4752,1994,1330.0,1345.0,0.0,0.0,942.0,0.0,0.0,0.0,0.0,0.7003717472118959,942.0
4753,1995,1405.0,1421.0,0.0,0.0,935.0,0.0,0.0,0.0,0.0,0.6579873328641802,935.0
4754,1996,1531.0,1547.0,0.0,0.0,955.0,0.0,0.0,0.0,0.0,0.6173238526179703,955.0
4755,1997,1976.0,1997.0,0.0,0.0,975.0,0.0,0.0,0.0,0.0,0.4882323485227842,975.0
4756,1998,1950.0,1966.0,0.0,0.0,1043.0,0.0,0.0,0.0,0.0,0.5305188199389623,1043.0
4757,1999,2407.0,2423.0,0.0,0.0,1210.0,0.0,0.0,0.0,0.0,0.4993809327280231,1210.0
4758,2000,2434.0,2450.0,0.0,0.0,1183.0,0.0,0.0,0.0,0.0,0.4828571428571429,1183.0
4759,2001,2543.0,2560.0,0.0,0.0,1236.0,0.0,0.0,0.0,0.0,0.4828125,1236.0
4760,2002,2880.0,2897.0,0.0,0.0,1287.0,0.0,0.0,0.0,0.0,0.44425267518122197,1287.0
4761,2003,3337.0,3354.0,0.0,0.0,1163.0,0.0,0.0,0.0,0.0,0.3467501490757305,1163.0
4762,2004,3446.0,3467.0,0.0,0.0,1107.0,0.0,0.0,0.0,0.0,0.3192962215171618,1107.0
4763,2005,3808.0,3826.0,0.0,0.0,1261.0,0.0,0.0,0.0,0.0,0.3295870360690016,1261.0
4764,2006,4503.0,4521.0,0.0,0.0,1370.0,0.0,0.0,0.0,0.0,0.30303030303030304,1370.0
4765,2007,5003.0,5021.0,0.0,0.0,1451.0,0.0,0.0,0.0,0.0,0.2889862577175861,1451.0
4766,2008,5488.0,5506.0,0.0,0.0,1463.0,0.0,0.0,0.0,0.0,0.2657101343988376,1463.0
4767,2009,6470.0,6491.0,0.0,0.0,3228.0,0.0,0.0,0.0,0.0,0.49730395932830074,3228.0
4768,2010,7474.0,7499.0,0.0,0.0,6202.0,0.0,0.0,0.0,0.0,0.8270436058141085,6202.0
4769,2011,8427.0,8455.0,0.0,0.0,6467.0,0.0,0.0,0.0,0.0,0.7648728562980485,6467.0
